%	Motor: Torque	Motor: Torque	Motor: Torque	Motor: Torque	CTRL Speed controller: Actual speed	CTRL Speed controller: Actual speed	CTRL Speed controller: Actual speed	CTRL Speed controller: Actual speed	CTRL Position controller: Lag error	CTRL Position controller: Lag error	CTRL Position controller: Lag error	CTRL Position controller: Lag error	CTRL Position controller: Set position	CTRL Position controller: Set position	CTRL Position controller: Set position	CTRL Position controller: Set position	CTRL Two encoder control: Positions difference	CTRL Two encoder control: Positions difference	CTRL Two encoder control: Positions difference	CTRL Two encoder control: Positions difference
Zeit	MittelwertMotorTorque	StandardabweichungMotorTorque	minus3sigmaMotorTorque	plus3sigmaMotorTorque	MittelwertActualSpeed	StandardabweichungActualSpeed	minus3sigmaActualSpeed	plus3sigmaActualSpeed	MittelwertLagError	StandardabweichungMittelwertLagError	minus3sigmaMittelwertLagError	plus3sigmaMittelwertLagError	MittelwertSetPosition	StandardabweichungSetPosition	minus3sigmaSetPosition	plus3sigmaSetPosition	MittelwertPositionsDifference	StandardabweichungPositionsDifference	minus3sigmaPositionsDifference	plus3sigmaPositionsDifference
0.0128	-3.15927E-06	1.31789E-06	-7.11293E-06	7.94387E-07	-3.73473E-08	1.16864E-07	-3.87939E-07	3.13245E-07	0.005759361	0.001123319	0.002389405	0.009129316	0	0	0	0	-0.003859648	0.002644485	-0.011793102	0.004073806
0.0136	-2.74161E-06	1.2119E-06	-6.3773E-06	8.94075E-07	2.07517E-08	1.05749E-07	-2.96495E-07	3.37999E-07	0.005833068	0.00109373	0.002551878	0.009114258	0	0	0	0	-0.003790957	0.002712264	-0.01192775	0.004345837
0.0144	-2.57875E-06	1.1379E-06	-5.99244E-06	8.34953E-07	8.99908E-08	9.61675E-08	-1.98512E-07	3.78493E-07	0.005796217	0.001041085	0.002672963	0.008919472	0	0	0	0	-0.003799388	0.002598579	-0.011595125	0.003996349
0.0152	-2.31803E-06	1.12166E-06	-5.68302E-06	1.04696E-06	1.17826E-07	9.13724E-08	-1.56291E-07	3.91944E-07	0.005777787	0.001048563	0.002632099	0.008923476	0	0	0	0	-0.003770303	0.002646208	-0.011708928	0.004168322
0.016	-2.02103E-06	1.09826E-06	-5.3158E-06	1.27375E-06	1.17783E-07	8.78476E-08	-1.4576E-07	3.81326E-07	0.005796214	0.001023528	0.00272563	0.008866799	0	0	0	0	-0.003701291	0.002660588	-0.011683056	0.004280474
0.0168	-1.52457E-06	1.00117E-06	-4.52809E-06	1.47896E-06	1.24309E-07	9.04467E-08	-1.47031E-07	3.9565E-07	0.005777787	0.000956667	0.002907786	0.008647789	0	0	0	0	-0.003670111	0.002588029	-0.011434199	0.004093977
0.0176	-1.25042E-06	1.02209E-06	-4.31668E-06	1.81584E-06	1.33928E-07	9.35885E-08	-1.46838E-07	4.14693E-07	0.005704086	0.000948235	0.00285938	0.008548791	0	0	0	0	-0.00368892	0.002657374	-0.011661041	0.004283201
0.0184	-1.0594E-06	1.03107E-06	-4.15262E-06	2.03382E-06	1.4205E-07	8.70375E-08	-1.19063E-07	4.03162E-07	0.005685659	0.000935218	0.002880006	0.008491312	0	0	0	0	-0.00364966	0.002636318	-0.011558614	0.004259294
0.0192	-7.57271E-07	8.50268E-07	-3.30807E-06	1.79353E-06	1.58591E-07	9.74613E-08	-1.33792E-07	4.50975E-07	0.005667232	0.001016705	0.002617118	0.008717346	0	0	0	0	-0.003604923	0.002724127	-0.011777303	0.004567458
0.019999999	-5.71331E-07	7.62592E-07	-2.85911E-06	1.71644E-06	1.84927E-07	1.14792E-07	-1.59451E-07	5.29304E-07	0.005648805	0.000908186	0.002924248	0.008373363	0	0	0	0	-0.00355021	0.002671452	-0.011564565	0.004464145
