Frequenz	mg
12.20703125	0.853918338
24.4140625	2.634919131
36.62109375	4.72370317
48.828125	4.259503331
61.03515625	2.804883263
73.2421875	4.749005314
85.44921875	2.554585868
97.65625	0.839417975
109.8632813	0.881627381
122.0703125	1.02833882
134.2773438	1.056995681
146.484375	1.218414643
158.6914063	1.031822268
170.8984375	0.91569946
183.1054688	0.87180835
195.3125	0.838034173
207.5195313	0.732514678
219.7265625	1.015506476
231.9335938	2.694475612
244.140625	3.164810841
256.3476563	2.169786171
268.5546875	2.616888278
280.7617188	1.442432632
292.96875	0.9610016
305.1757813	1.00919566
317.3828125	1.184648016
329.5898438	1.40513318
341.796875	3.494689591
354.0039063	7.193509141
366.2109375	5.023594762
378.4179688	4.183809692
390.625	5.827381459
402.8320313	6.369810049
415.0390625	6.047580316
427.2460938	7.683396798
439.453125	8.414213028
451.6601563	7.987184149
463.8671875	5.930837539
476.0742188	4.718169961
488.28125	4.329244762
500.4882813	4.93917031
512.6953125	4.751876133
524.9023438	7.35171016
537.109375	6.835090479
549.3164063	4.731141928
561.5234375	4.241251925
573.7304688	4.182501948
585.9375	3.978075031
598.1445313	3.443164835
610.3515625	4.153312932
622.5585938	5.364895904
634.765625	4.072353848
646.9726563	3.608893393
659.1796875	3.345583915
671.3867188	3.091485705
683.59375	3.980918446
695.8007813	8.621526184
708.0078125	14.08586095
720.2148438	23.16598634
732.421875	12.07843113
744.6289063	4.172027411
756.8359375	3.796148553
769.0429688	4.494468769
781.25	4.672089894
793.4570313	4.415088235
805.6640625	5.092446388
817.8710938	5.171629429
830.078125	5.006658134
842.2851563	5.440532005
854.4921875	6.845800488
866.6992188	7.505393898
878.90625	7.010392298
891.1132813	4.503647782
903.3203125	2.816439689
915.5273438	2.569938004
927.734375	2.983094436
939.9414063	2.589554962
952.1484375	2.55208828
964.3554688	2.851109517
976.5625	2.509704254
988.7695313	2.760542493
1000.976563	2.08941908
1013.183594	2.121322709
1025.390625	2.36669483
1037.597656	2.714850683
1049.804688	3.599136981
1062.011719	3.724060771
1074.21875	3.710857323
1086.425781	2.972767371
1098.632813	2.726990111
1110.839844	2.876599948
1123.046875	2.743751496
1135.253906	3.610594366
1147.460938	4.233376872
1159.667969	4.13065723
1171.875	4.101449134
1184.082031	3.658835853
1196.289063	4.173830744
1208.496094	4.558726701
1220.703125	6.422739216
1232.910156	7.807933185
1245.117188	9.120756947
1257.324219	8.354994275
1269.53125	6.098504777
1281.738281	5.300379669
1293.945313	6.183753372
1306.152344	6.1738195
1318.359375	6.485107686
1330.566406	5.02911843
1342.773438	5.525985041
1354.980469	5.00136054
1367.1875	5.630685131
1379.394531	5.577701204
1391.601563	6.385192632
1403.808594	8.479743355
1416.015625	13.26849727
1428.222656	12.35356682
1440.429688	15.00741719
1452.636719	13.75352434
1464.84375	9.583437737
1477.050781	12.04031619
1489.257813	18.58970017
1501.464844	19.92442759
1513.671875	15.07738226
1525.878906	18.74169929
1538.085938	14.42629674
1550.292969	13.80279575
1562.5	15.33085232
1574.707031	12.79936517
1586.914063	13.54334322
1599.121094	11.90815084
1611.328125	10.73954058
1623.535156	9.440318536
1635.742188	6.764104797
1647.949219	7.932240603
1660.15625	9.145330547
1672.363281	10.69545276
1684.570313	9.133358353
1696.777344	12.61806901
1708.984375	13.71396368
1721.191406	12.93523601
1733.398438	16.24184447
1745.605469	16.96164868
1757.8125	16.87530593
1770.019531	17.6845402
1782.226563	21.67831602
1794.433594	25.15035799
1806.640625	26.5099778
1818.847656	23.44462632
1831.054688	22.04193517
1843.261719	16.41372878
1855.46875	12.51659591
1867.675781	7.469811884
1879.882813	8.765244472
1892.089844	7.140252791
1904.296875	6.768337643
1916.503906	6.00625939
1928.710938	7.312847107
1940.917969	6.1730862
1953.125	4.907447603
1965.332031	5.727872967
1977.539063	6.453148964
1989.746094	5.749888575
2001.953125	5.492731368
2014.160156	5.64829475
2026.367188	5.7031024
2038.574219	6.181121156
2050.78125	6.446307977
2062.988281	7.989800437
2075.195313	7.819605977
2087.402344	8.925249158
2099.609375	13.62679457
2111.816406	12.68427873
2124.023438	10.28858167
2136.230469	15.09854772
2148.4375	18.1346359
2160.644531	15.97675253
2172.851563	13.15012377
2185.058594	14.69023455
2197.265625	18.63474043
2209.472656	26.01997558
2221.679688	29.29932149
2233.886719	30.38970394
2246.09375	32.94683867
2258.300781	29.13762354
2270.507813	28.94021064
2282.714844	28.06806274
2294.921875	28.15830379
2307.128906	28.83971921
2319.335938	20.43661039
2331.542969	15.59100638
2343.75	14.8281654
2355.957031	16.7153716
2368.164063	18.43799462
2380.371094	16.57295647
2392.578125	14.62496816
2404.785156	14.05243026
2416.992188	13.80676827
2429.199219	12.86529031
2441.40625	13.80046773
2453.613281	13.71306568
2465.820313	13.57884874
2478.027344	14.68761688
2490.234375	16.00326633
2502.441406	13.88437928
2514.648438	11.54038042
2526.855469	10.7383758
2539.0625	8.452322225
2551.269531	8.692059036
2563.476563	8.551320254
2575.683594	8.04708491
2587.890625	6.906175502
2600.097656	7.200107799
2612.304688	9.930888387
2624.511719	8.955464878
2636.71875	7.799892757
2648.925781	5.734813828
2661.132813	4.969096952
2673.339844	5.428868397
2685.546875	5.952700022
2697.753906	5.864967097
2709.960938	5.580761661
2722.167969	5.424563147
2734.375	5.581931527
2746.582031	7.519960635
2758.789063	7.031143569
2770.996094	8.971934576
2783.203125	10.2051928
2795.410156	8.082496512
2807.617188	8.425397392
2819.824219	6.770091435
2832.03125	7.499477932
2844.238281	8.628452741
2856.445313	8.945077141
2868.652344	7.750337201
2880.859375	7.45728102
2893.066406	6.841810838
2905.273438	7.57470181
2917.480469	7.986896141
2929.6875	6.961542874
2941.894531	7.042997418
2954.101563	7.239871751
2966.308594	6.308388987
2978.515625	6.015912776
2990.722656	7.039256973
3002.929688	6.90259264
3015.136719	6.686209575
3027.34375	5.621075351
3039.550781	6.055029927
3051.757813	6.161309734
3063.964844	5.140162171
3076.171875	4.930742729
3088.378906	4.452671154
3100.585938	5.32031444
3112.792969	5.399329182
3125	4.83123106
3137.207031	4.571890214
3149.414063	5.427290232
3161.621094	5.27014937
3173.828125	4.568929618
3186.035156	4.020855244
3198.242188	4.181907831
3210.449219	4.431402287
3222.65625	4.570485582
3234.863281	4.895775717
3247.070313	4.942417409
3259.277344	4.993527959
3271.484375	5.496051184
3283.691406	6.226987157
3295.898438	5.827871637
3308.105469	6.709346992
3320.3125	7.146194717
3332.519531	6.434134567
3344.726563	6.212422747
3356.933594	6.558129084
3369.140625	5.976281641
3381.347656	7.77282147
3393.554688	9.684777326
3405.761719	8.1054908
3417.96875	7.561753924
3430.175781	7.766117469
3442.382813	7.586244375
3454.589844	8.801330627
3466.796875	10.58526872
3479.003906	9.476831176
3491.210938	9.986817853
3503.417969	9.225887536
3515.625	10.313407
3527.832031	11.38012303
3540.039063	11.82059664
3552.246094	11.94777613
3564.453125	12.79594539
3576.660156	14.31850084
3588.867188	15.0366862
3601.074219	16.70326405
3613.28125	19.08503214
3625.488281	17.77706418
3637.695313	15.37154931
3649.902344	13.43947694
3662.109375	13.60449406
3674.316406	12.15150624
3686.523438	13.50396454
3698.730469	13.1054865
3710.9375	10.8080906
3723.144531	9.551530871
3735.351563	9.067500354
3747.558594	8.913080897
3759.765625	7.463749562
3771.972656	6.593313785
3784.179688	6.431989709
3796.386719	5.581009331
3808.59375	6.443874524
3820.800781	6.406720499
3833.007813	5.938614955
3845.214844	6.029363277
3857.421875	5.614477762
3869.628906	5.697074331
3881.835938	6.7305011
3894.042969	5.904353113
3906.25	5.922003358
3918.457031	6.52378834
3930.664063	6.060795504
3942.871094	7.081682287
3955.078125	7.308306243
3967.285156	7.301329751
3979.492188	7.541635107
