%	Polynom 5te Ordnung		kombinierte Traces									
Zeit	Geschwindigkeit	StandardabweichungGeschwindigkeit	Drehmoment	StandardabweichungDrehmoment	Position	StandardabweichungPosition	Schleppfehler	StandardabweichungSchleppfehler	Positionsdifferenz	StandardabweichungPositionsdifferenz	Stromstaerke	StandardabweichungStromstaerke
0.0092	11.6558112	2.050202553	20.08733622	0.694779611	0.260424894	0.090968204	0.035893976	0.00267604	0.007003698	0.004679229	32.99591468	1.703785948
0.0096	13.01875156	2.101008732	20.49750739	0.718177182	0.310538797	0.099216327	0.036413655	0.002669294	0.008079398	0.004816406	34.00077573	1.741545568
0.01	14.41690088	2.158573765	20.90390082	0.70544003	0.366100984	0.107743326	0.036963188	0.002648292	0.009288315	0.005020318	34.95566521	1.666207891
0.0104	15.85416233	2.218871558	21.30359762	0.677568102	0.42730294	0.116528641	0.037713728	0.00254342	0.010766922	0.005134936	35.90187903	1.595483642
0.0108	17.3284519	2.278009759	21.68764402	0.665443465	0.494320065	0.125552559	0.038018722	0.002317347	0.011847755	0.0053391	36.80696472	1.587584059
0.0112	18.84185277	2.331936077	22.06585117	0.660830377	0.567316915	0.134800137	0.038386483	0.00213175	0.013024275	0.005277078	37.68903194	1.57616835
0.0116	20.38882222	2.380926777	22.44349289	0.629955077	0.646443834	0.144246859	0.039025169	0.001994426	0.014502392	0.005035128	38.60030829	1.46126872
0.012	21.96625055	2.426962732	22.8264852	0.560285555	0.731839573	0.153876111	0.039459847	0.002024699	0.015794825	0.005113875	39.52886694	1.281210098
0.0124	23.57181938	2.470713282	23.21792517	0.510042313	0.823629417	0.163670474	0.039758484	0.002291997	0.016949641	0.004912276	40.46268583	1.224916186
0.0128	25.20469153	2.507007429	23.56360877	0.524430776	0.921924067	0.173608764	0.040665979	0.002441845	0.018712811	0.004817464	41.21260288	1.326672134
0.0132	26.86488264	2.534218342	23.82784301	0.52664787	1.026827494	0.18367733	0.040923661	0.002447593	0.019835026	0.004961156	41.73968693	1.308861837
0.0136	28.55339387	2.557531704	24.00304203	0.457776602	1.138429081	0.193856732	0.041501408	0.002712989	0.021302113	0.004763838	42.06703156	1.089009119
0.014	30.25981761	2.577994364	24.2080046	0.383456606	1.256801007	0.204129363	0.041729737	0.002414906	0.022474326	0.00476578	42.6411263	1.009911025
0.0144	31.98093549	2.594140941	24.51835715	0.407169653	1.382013957	0.214481157	0.042287235	0.002737815	0.02399827	0.004863117	43.47736037	1.153370071
0.0148	33.72030958	2.608613968	24.68896683	0.428835818	1.514121037	0.224891145	0.042730739	0.002537079	0.025455861	0.005244883	43.65070582	1.135736347
0.0152	35.48076431	2.626768005	24.68175424	0.29742108	1.653165256	0.235347589	0.043065511	0.002390004	0.026877841	0.005024773	43.45907406	0.885890884
0.0156	37.246188	2.638332457	24.76156235	0.34729325	1.799181396	0.245833784	0.043286103	0.002104347	0.028315552	0.004945075	43.85001328	1.006852805
0.016	39.01897341	2.647208641	24.94403218	0.317625384	1.952189651	0.256331467	0.043548749	0.002783028	0.029845206	0.004959046	44.3173591	1.047351846
0.0164	40.7938103	2.655973175	24.9008761	0.343244979	2.112202364	0.266832078	0.043616414	0.002525245	0.031305116	0.005026697	43.88230208	1.006998027
0.0168	42.57058738	2.655589183	24.77331603	0.349024713	2.279224396	0.277311968	0.04339499	0.002457133	0.032573661	0.004825128	43.60136997	1.194297661
0.0172	44.3311692	2.647128021	24.79602275	0.248890665	2.453240787	0.287762828	0.043201793	0.002799683	0.033943265	0.004877638	43.80408545	0.808766121
0.0176	46.10329856	2.640557316	24.70554988	0.454466167	2.634237701	0.298167483	0.042980654	0.002301619	0.035352406	0.005175082	43.37752196	1.525330305
0.018	47.85216739	2.616114856	24.55731788	0.362585859	2.822190827	0.308515298	0.042684882	0.0022798	0.03678969	0.005021832	43.06815832	1.053605799
