%	1-10788-38173-M-16.06.2015_P10					
%	"""Nm"" "	mm				
Zeit	Drehmoment	Geschwindigkeit	Position	Schleppfehler	Positionsdifferenz	Stromstaerke
0.025999999	17.7037735	78.72077179	8.03817749	0.027413312	0.089536309	27.13179207
0.026399999	17.3139286	79.72639465	8.353099823	0.025929827	0.091243144	26.84856224
0.026799999	16.39780045	80.82713318	8.672351837	0.022914615	0.091171302	25.15130234
0.027199999	15.681633	81.76075745	8.995742798	0.020133574	0.091108978	23.88197899
0.027599999	15.06525612	82.71586609	9.32308197	0.020324849	0.094093084	23.40689468
0.027999999	14.30410004	83.57434082	9.654178619	0.017433539	0.093408972	21.78516388
0.028399999	13.85087585	84.38508606	9.988822937	0.014190041	0.092547983	21.38132286
0.028799999	12.97505951	85.22859955	10.32682419	0.015274473	0.095511526	19.79088593
0.029199999	12.4103241	85.92800903	10.66797256	0.012668241	0.09504199	18.90000916
0.029599999	11.81170082	86.63856506	11.01203918	0.011045039	0.095104873	17.96901512
0.029999999	10.89892292	87.26159668	11.35885239	0.011169277	0.097009838	16.47690392
0.030399999	10.26248455	87.85984039	11.70816422	0.009896327	0.097281635	15.50497341
0.030799999	9.507570267	88.33894348	12.05976486	0.007986408	0.096809268	14.54883957
0.031199999	9.030350685	88.8659668	12.41344452	0.008149073	0.098208785	14.1718111
0.031599999	8.096151352	89.25115204	12.7689743	0.009186957	0.100432038	11.96839333
0.031999999	7.327010155	89.6282959	13.12614441	0.005993545	0.098329782	11.09110355
0.032399999	6.534292221	89.91998291	13.48470688	0.00615716	0.099307299	9.602276802
0.032799999	5.840576172	90.18923187	13.84443283	0.005545914	0.099599361	8.615233421
0.033199999	5.000378609	90.38197327	14.20513153	0.004908312	0.099614263	7.272881985
0.033599999	4.173869133	90.53585052	14.56653595	0.004993286	0.100350976	5.914823532
0.033999999	3.620800018	90.63869476	14.92845535	0.00361884	0.099550188	5.305724621
0.034399999	2.831035852	90.6572876	15.29062271	0.004462209	0.101002455	3.970481873
0.034799999	1.796933651	90.63686371	15.65282822	0.002411176	0.099287033	1.989713669
0.035199999	1.065104842	90.54048157	16.01484299	0.002118479	0.099359453	1.099219441
0.035599999	0.298696756	90.40220642	16.37641907	0.002379045	0.099879205	-0.228101254
0.035999999	-0.270400047	90.20133972	16.73736572	0.002963971	0.100551248	-0.598846138
0.036399999	-1.369968414	89.97116089	17.09741592	0.000714213	0.098414123	-2.961832523
0.036799999	-2.190197229	89.63705444	17.45635986	0.001263265	0.099037886	-4.035284042
0.037199999	-3.018802404	89.26347351	17.81398773	0.001453348	0.099102557	-5.822043419
0.037599999	-3.830028057	88.85927582	18.1700325	8.43033E-05	0.09752214	-6.458983421
0.037999999	-4.474463463	88.38513947	18.52430344	0.000837818	0.098177306	-7.551276207
0.038399999	-5.510198116	87.85488892	18.87657166	-0.000413936	0.096603557	-9.512545586
0.038799999	-6.310224056	87.26940155	19.22660828	1.52551E-05	0.096788779	-10.54805374
0.039199999	-7.198272705	86.63800049	19.57420349	-4.55044E-05	0.096362382	-11.94817352
0.039599999	-8.043601036	85.93782043	19.91912842	-0.001788251	0.094218105	-13.42515182
0.039999999	-8.716279984	85.20252991	20.26119232	-0.000542998	0.094934851	-14.13805962
0.040399999	-9.675806999	84.41773987	20.60018539	-0.002379417	0.092689097	-15.94154549
0.040799999	-10.38409424	83.57822418	20.93587875	-0.003598053	0.090943873	-17.017416
0.041199999	-11.61784363	82.63710785	21.26808167	-0.001472943	0.092495382	-19.02754211
0.041599999	-12.3536005	81.70996857	21.59658432	-0.003040917	0.090156198	-19.99580574
0.041999999	-12.49103451	80.7137146	21.92121506	-0.004591718	0.087905228	-19.72127724
0.042399999	-13.63525105	79.68443298	22.241745	-0.002412368	0.089410543	-22.46903229
0.042799999	-14.61610794	78.60337067	22.55802155	-0.003527217	0.087509155	-23.72644997
0.043199999	-15.42086029	77.45680237	22.8698349	-0.005191034	0.085150898	-24.58768463
0.043599999	-15.99199486	76.28865051	23.1770134	-0.005630106	0.083847046	-25.80700684
0.043999999	-16.54469681	75.06096649	23.47938538	-0.004043989	0.084609985	-26.09199715
0.044399999	-17.23319054	73.87200928	23.7767601	-0.004507741	0.08343339	-28.01039505
0.044799999	-17.89755058	72.58413696	24.06900406	-0.00718615	0.080188513	-28.27539063
0.045199999	-18.87889481	71.29382324	24.35594559	-0.006380761	0.080587864	-30.87236214
0.045599999	-19.48157692	69.90852356	24.6374321	-0.008103242	0.078438222	-31.44257164
0.045999999	-19.98584175	68.54177094	24.913311	-0.010548839	0.075731575	-33.04386139
0.046399999	-19.83230782	67.13736725	25.18342972	-0.010929257	0.075070262	-31.43211365
0.046799999	-20.52338791	65.71911621	25.4476738	-0.01231079	0.073937178	-35.01503372
0.047199999	-21.30080414	64.23545837	25.70590973	-0.012868643	0.073506534	-35.85412979
0.047599999	-21.70642662	62.71153259	25.958004	-0.016631549	0.070184171	-37.22925568
0.047999999	-22.24564934	61.13335419	26.20384216	-0.017855205	0.069176257	-37.80881119
0.048399999	-22.40106583	59.54641724	26.44332886	-0.019577891	0.067852139	-38.54517365
0.048799999	-23.04601288	57.92670441	26.67636871	-0.021899836	0.065746307	-40.07477951
0.049199999	-22.69335365	56.29284668	26.90284729	-0.024914825	0.063184202	-38.36937332
0.049599999	-23.55891991	54.70357513	27.12268829	-0.026754988	0.061783791	-42.29695511
0.049999999	-24.08462334	52.97729492	27.33581543	-0.028473977	0.060806274	-42.15358734
0.050399999	-23.94298172	51.30088425	27.5421524	-0.03111776	0.058603287	-41.81560516
0.050799999	-24.82145309	49.51802826	27.741642	-0.032793144	0.057452619	-44.97736359
