%Seriennummer:	38207						
%Standardabweichung	0.126951651	0.038623982	0.022925159	0.156966364	1.04340932	1.285099895	1.52468485
%Mittelwert	0.803429949	0.852430369	0.931007972	0.76483879	22.78458695	22.90280642	23.24585232
Punkte:	StromLauf1	StromLauf2	StromLauf3	StromLauf4	Temperatursensor1	Temperatursensor2	Temperatursensor3
-362	0.8461611	0.8365456	0.9134694				
-361	0.5288507	0.8557765	0.9327003				
-360	0.8557765	0.8461611	0.9711621				
-359	0.8365456	0.8173147	0.9327003				
-358	0.4134651	0.8173147	0.9134694				
-357	0.8461611	0.8269302	0.9134694				
-356	0.8269302	0.8846229	0.9615467				
-355	0.8557765	0.8365456	0.9423158				
-354	0.7980838	0.7884683	0.9230848				
-353	0.8269302	0.8269302	0.9327003				
-352	0.8846229	0.8942384	0.9615467				
-351	0.9327003	0.8173147	0.9327003				
-350	0.8461611	0.8461611	0.9423158				
-349	0.865392	0.865392	0.9134694				
-348	0.8173147	0.8076992	0.9615467				
-347	0.8557765	0.8942384	0.9519312				
-346	0.3557723	0.9038539	0.9615467				
-345	0.865392	0.8461611	0.9230848				
-344	0.8269302	0.8461611	0.9615467				
-343	0.8173147	0.8269302	0.9230848				
-342	0.8846229	0.865392	0.9423158				
-341	0.8173147	0.8461611	0.9230848				
-340	0.8269302	0.9230848	0.9134694				
-339	0.8557765	0.8365456	0.9230848				
-338	0.7980838	0.8269302	0.9423158				
-337	0.8173147	0.8557765	0.9519312				
-336	0.8173147	0.9615467	0.9230848				
-335	0.8557765	0.8076992	0.9230848				
-334	0.8557765	0.8269302	0.9038539				
-333	0.8173147	0.8461611	0.9038539				
-332	0.8076992	0.9038539	0.9711621				
-331	0.8557765	0.8076992	0.9327003				
-330	0.8461611	0.8461611	0.9230848				
-329	0.8557765	0.8269302	0.9038539				
-328	0.7980838	0.865392	0.9615467				
-327	0.8942384	0.8750075	0.9519312				
-326	0.8750075	0.8076992	0.9807776				
-325	0.8365456	0.8269302	0.8942384				
-324	0.8173147	0.8365456	0.9327003				
-323	0.9038539	0.7980838	0.9327003				
-322	0.8365456	0.8269302	0.9327003				
-321	0.8846229	0.865392	0.9230848				
-320	0.9038539	0.9038539	0.9711621				
-319	0.8942384	0.7884683	0.9038539				
-318	0.8557765	0.8173147	0.9327003				
-317	0.8557765	0.865392	0.9615467				
-316	0.8076992	0.9134694	0.9807776				
-315	0.7692373	0.7788528	0.9423158				
-314	0.8461611	0.8076992	0.9038539				
-313	0.8365456	0.9038539	0.9134694				
-312	0.8269302	0.9230848	0.9327003				
-311	0.9134694	0.8750075	0.8846229				
-310	0.865392	0.8173147	0.9230848				
-309	0.8269302	0.8173147	0.8942384				
-308	0.8076992	0.8365456	0.9519312				
-307	0.8846229	0.7980838	0.9230848				
