Zeit	mg		
0.190734863	0.067483613		
0.381469727	0.082486287		
0.57220459	0.21836828		
0.762939453	46.80019931		
0.953674316	90.60007746		
1.14440918	44.00058489		
1.335144043	0.405467586		
1.525878906	0.096222739		
1.71661377	0.237384026		
1.907348633	0.044119679		
2.098083496	0.152785556		
2.288818359	0.324632367		
2.479553223	1.51465016		
2.670288086	79.50003493		
2.861022949	144.7484962		
3.051757813	65.9369422		
3.242492676	1.622540444		
3.433227539	0.299323558		
3.623962402	0.386377439		
3.814697266	0.24555653		
4.005432129	0.312292292		
4.196166992	0.764179237		
4.386901855	2.916825117		
4.577636719	85.44698086		
4.768371582	146.6659808		
4.959106445	62.68293084		
5.149841309	2.306490295		
5.340576172	0.636397317		
5.531311035	0.349730587		
5.722045898	0.605277786		
5.912780762	0.288877758		
6.103515625	0.835670534		
6.294250488	4.335906808		
6.484985352	84.10608334		
6.675720215	136.2597701		
6.866455078	54.51871445		
7.057189941	2.773798695		
7.247924805	0.757190503		
7.438659668	0.381644843		
7.629394531	0.584390713		
7.820129395	0.360427404		
8.010864258	1.289630737		
8.201599121	4.998525531		
8.392333984	78.45354379		
8.583068848	120.1821735		
8.773803711	44.92297854		
8.964538574	2.674540065		
9.155273438	0.876540056		
9.346008301	0.509896234		
9.536743164	0.376153588		
9.727478027	0.663022976		
9.918212891	1.149764154		
10.10894775	5.772019843		
10.29968262	69.52676901		
10.49041748	100.6390353		
10.68115234	34.94004472		
10.87188721	2.70268983		
11.06262207	0.836158191		
11.25335693	0.396241211		
11.4440918	0.422624791		
11.63482666	0.602028024		
11.82556152	1.20898317		
12.01629639	5.693041514		
12.20703125	57.54210541		
12.39776611	78.84451935		
12.58850098	25.63705197		
12.77923584	1.876253878		
12.9699707	0.942047537		
13.16070557	0.307365357		
13.35144043	0.436503153		
13.54217529	0.344802924		
13.73291016	1.100398711		
13.92364502	5.039028203		
14.11437988	42.83001535		
14.30511475	55.46249054		
14.49584961	16.47500078		
14.68658447	1.659592771		
14.87731934	0.498212038		
15.0680542	0.32138537		
15.25878906	0.258561653		
15.44952393	0.337528163		
15.64025879	0.805745212		
15.83099365	3.528719992		
16.02172852	26.16617854		
16.21246338	32.24572367		
16.40319824	8.771025782		
16.59393311	0.985144152		
16.78466797	0.330504487		
16.97540283	0.268973181		
17.1661377	0.092155543		
17.35687256	0.298989997		
17.54760742	0.376164877		
17.73834229	1.292078055		
17.92907715	8.353859572		
18.11981201	9.937285588		
18.31054688	2.286313324		
18.50128174	0.454815748		
18.6920166	0.104932832		
18.88275146	0.293767855		
19.07348633	0.096912537		
19.26422119	0.014553472		
19.45495605	0.203131345		
