%	"""Nm"" "	"""1/s"" "	mm	mm	mm	"""A"" "
Zeit	Drehmoment	Geschwindigkeit	Position	Schleppfehler	Positionsdifferenz	Stromstaerke
0.025999999	16.85240364	79.19774628	8.251514435	0.015158262	0.063528083	25.86225891
0.026399999	16.33869171	80.25117493	8.569335938	0.012673717	0.062946826	25.07578087
0.026799999	15.83518982	81.2408905	8.891372681	0.010486264	0.063151345	24.85135651
0.027199999	14.86635017	82.28005981	9.217414856	0.011335481	0.065661818	22.45801353
0.027599999	14.28683949	83.09562683	9.547271729	0.009167697	0.065664798	22.09910393
0.027999999	13.49777508	84.06271362	9.880752563	0.007691178	0.065714121	20.70477486
0.028399999	12.95179462	84.78083801	10.21766663	0.007680859	0.067468882	19.67283058
0.028799999	12.22024918	85.61494446	10.55778503	0.005025435	0.066282451	18.83642387
0.029199999	11.35810184	86.27646637	10.90089798	0.004399735	0.067011565	16.95571518
0.029599999	10.80127239	86.97128296	11.2468338	0.004615951	0.068679899	16.50514221
0.029999999	10.05396557	87.53834534	11.59532547	0.002530627	0.067649037	15.37999153
0.030399999	9.22064209	88.1108551	11.94618225	0.001833569	0.068138391	13.65303612
0.030799999	8.603095055	88.59239197	12.29919434	0.00230616	0.069404393	13.1087141
0.031199999	7.830372334	89.04161072	12.65413284	0.000798125	0.068892986	11.77531052
0.031599999	7.055485249	89.42944336	13.01078796	1.64844E-05	0.068667084	10.41151714
0.031999999	6.43358326	89.7275238	13.36889267	0.00071371	0.070213825	9.658699036
0.032399999	5.649654865	90.05081177	13.7282753	-0.000265688	0.069550723	7.897430897
0.032799999	4.753547668	90.20256805	14.08866882	-0.001194924	0.069158524	6.780194283
0.033199999	4.123558521	90.42475891	14.44986343	-0.000348613	0.070217401	6.05587101
0.033599999	3.303934813	90.48466492	14.81163025	-0.001862273	0.068964213	4.557732582
0.033999999	2.562851429	90.57873535	15.17374039	-0.000105295	0.070840865	3.022448063
0.034399999	1.636138558	90.51724243	15.53596497	-0.002142563	0.06882593	2.016595364
0.034799999	1.167165279	90.49601746	15.8980751	-0.002344325	0.068658143	1.573275805
0.035199999	0.124495819	90.3505249	16.25982285	-0.001917072	0.06879881	-0.618129015
0.035599999	-0.60849756	90.18816376	16.62099838	-0.002066083	0.068656951	-1.523421764
0.035999999	-1.344473839	89.9858551	16.98137283	-0.003019869	0.067340881	-2.643075705
0.036399999	-2.275383949	89.66706085	17.34071732	-0.003052969	0.067207962	-4.337178707
0.036799999	-3.061031818	89.36425781	17.69880295	-0.002392754	0.067454129	-5.389260769
0.037199999	-3.928551912	88.93774414	18.05540085	-0.004193314	0.065502436	-6.801092625
0.037599999	-4.808982372	88.53108215	18.41028214	-0.002820399	0.066373385	-8.341775894
0.037999999	-5.260745049	87.98963928	18.763237	-0.00337895	0.065601617	-8.240125656
0.038399999	-6.587279797	87.47981262	19.11405563	-0.003159996	0.065407529	-11.2762289
0.038799999	-7.371767044	86.79021454	19.46249008	-0.003358647	0.064746588	-12.32777977
0.039199999	-8.295810699	86.13616943	19.80833054	-0.005167611	0.062368214	-13.58797264
0.039599999	-9.063136101	85.38305664	20.15136719	-0.002941545	0.063814372	-14.86696434
0.039999999	-9.472552299	84.61125183	20.4914093	-0.003727134	0.06237343	-15.27993011
0.040399999	-10.74774837	83.7702179	20.828228	-0.004803035	0.060376972	-17.72934341
0.040799999	-11.61752129	82.88909912	21.16161346	-0.002467595	0.06191954	-19.1573143
0.041199999	-12.13364887	81.95814514	21.49137497	-0.003758501	0.059557706	-19.18404007
0.041599999	-13.07751083	80.97550964	21.81732178	-0.004967451	0.057518035	-21.51401329
0.041999999	-13.64686203	79.98188782	22.13924408	-0.002382323	0.058958977	-21.92367554
0.042399999	-14.50123882	78.90997314	22.45695114	-0.001075771	0.059522837	-23.26315689
0.042799999	-14.98358727	77.85334778	22.7702713	-0.003187079	0.056383759	-24.15787506
0.043199999	-16.12397385	76.63365173	23.07901382	-0.004014177	0.054882616	-25.93130112
0.043599999	-16.88073921	75.53323364	23.38300705	-0.002757711	0.055180341	-27.33247757
0.043999999	-16.95009041	74.24771118	23.68207932	-0.003495542	0.053859502	-26.30353355
0.044399999	-17.9457798	73.09082794	23.97603989	-0.004441068	0.052410215	-29.53089142
0.044799999	-18.89775848	71.72887421	24.26477432	-0.00477856	0.051687509	-30.04643631
0.045199999	-19.62467384	70.45288849	24.54809189	-0.006617596	0.049794465	-32.55962753
0.045599999	-19.72913361	69.03266144	24.82585907	-0.008154176	0.047835559	-31.52303314
0.045999999	-20.44561958	67.639328	25.09790421	-0.009532813	0.046716183	-34.54531479
0.046399999	-20.59907341	66.20172119	25.36413193	-0.008937903	0.04697755	-33.49889374
0.046799999	-21.26595497	64.72115326	25.62437057	-0.010406608	0.046083778	-36.68791199
0.047199999	-21.58495712	63.26560974	25.87854385	-0.01308769	0.043381602	-35.88324356
0.047599999	-22.02552605	61.65069962	26.1264801	-0.014168182	0.043053776	-38.27406311
0.047999999	-22.75928497	60.13251114	26.36810303	-0.015711831	0.041602403	-39.2267952
0.048399999	-22.79970169	58.43283463	26.60329819	-0.018799482	0.039107352	-39.39792633
0.048799999	-23.50211143	56.90753937	26.83197021	-0.020596124	0.037524849	-41.27537918
0.049199999	-23.07096291	55.17311478	27.05402374	-0.023143599	0.035572797	-39.04918671
0.049599999	-23.77173233	53.63790131	27.26940155	-0.023592357	0.035690218	-42.72956467
0.049999999	-24.53851318	51.81211472	27.47800827	-0.025919573	0.034072548	-43.49621964
0.050399999	-24.18144417	50.17102814	27.67978668	-0.028236629	0.032247454	-42.0709343
0.050799999	-25.03861046	48.35572052	27.87469864	-0.030597141	0.030205995	-45.54285049
0.051199999	-25.00735474	46.6043396	28.06266785	-0.032071867	0.029130247	-43.78258133
0.051599999	-24.6827507	44.82658386	28.24369431	-0.033673542	0.02729753	-43.3880043
0.051999999	-25.29507065	43.07859039	28.41772079	-0.034453422	0.026876964	-45.77458572
0.052399999	-25.19821358	41.30316925	28.58472824	-0.037359335	0.023656152	-44.23464966
0.052799999	-24.74221802	39.52510071	28.74473572	-0.039470028	0.021685362	-43.36333847
0.053199999	-25.16443253	37.83957672	28.89770508	-0.040783929	0.020080134	-45.31723404
0.053599999	-25.76937866	35.98194885	29.04369354	-0.042266152	0.018837079	-46.7537117
0.053999999	-25.36371422	34.21268463	29.18268204	-0.041941358	0.018507019	-44.42620087
0.054399999	-24.86497688	32.33963394	29.31472778	-0.043683364	0.016140193	-43.46515656
0.054799999	-24.82211304	30.67376518	29.43986893	-0.042565814	0.016239882	-43.86552429
0.055199999	-24.89401245	28.82309723	29.55816269	-0.044393805	0.013437718	-44.0109024
0.055599999	-24.55965042	27.10422516	29.66966629	-0.04519532	0.011207312	-42.69755936
0.055999999	-24.02459526	25.26966476	29.77445602	-0.045869881	0.008600652	-41.23849869
0.056399999	-23.43212891	23.63807869	29.87264633	-0.043398812	0.009043515	-39.85729599
0.056799999	-23.08138657	21.97323227	29.96429443	-0.042564529	0.007588416	-39.27585602
0.057199999	-22.76588058	20.40769386	30.04953384	-0.042277467	0.005975664	-38.58086014
0.057599999	-22.48402023	18.83248711	30.12849808	-0.04045954	0.005491227	-37.90106201
0.057999999	-22.11613846	17.2236805	30.20132065	-0.039902474	0.003996044	-36.88494492
0.058399999	-21.53610611	15.70027924	30.26815414	-0.038502882	0.002576411	-35.34519958
0.058799999	-20.83620071	14.15870285	30.32915115	-0.037073935	0.001352429	-33.4043808
0.059199999	-20.11475372	12.79307365	30.38450241	-0.034462218	0.00081867	-31.70631981
0.059599998	-19.42714882	11.39029312	30.43437958	-0.032431062	5.70714E-05	-30.19163895
0.059999998	-18.73527527	10.16516113	30.47901154	-0.030776456	-0.001271218	-28.68530655
0.060399998	-17.88243484	8.880094528	30.51858902	-0.029281136	-0.002514422	-27.44157791
0.060799998	-16.9612999	7.758412838	30.55335999	-0.027713301	-0.003681332	-25.9237442
0.061199998	-16.0381012	6.582097054	30.58357239	-0.025826865	-0.004548281	-24.45570374
0.061599998	-14.97499275	5.547318935	30.60947418	-0.023361528	-0.004800111	-22.69631767
0.061999998	-13.78948975	4.50806427	30.63135147	-0.021018726	-0.005413443	-20.700634
0.062399998	-12.53190327	3.588576078	30.64949036	-0.018508318	-0.005755275	-18.70538521
0.062799998	-11.16639805	2.725702763	30.66417694	-0.015524707	-0.005937964	-16.44278717
