Ampere	Zyklus1	Zyklus2	Zyklus3	Zyklus4
0.1	0	0	0	0
0.2	0	0	0	0
0.3	0	0	0	16
0.4	11	3	0	27
0.5	25	7	1	20
0.6	17	25	5	18
0.7	16	20	13	26
0.8	38	12	20	88
0.9	89	60	37	3
1	3	69	64	1
1.1	0	2	45	0
1.2	0	0	6	0
1.3	0	1	1	0
1.4	0	0	4	0
1.5	0	0	1	0
