Zeit1	Lauf1Units	Lauf1mm	Zeit2	Lauf2Units	Lauf2mm	Zeit3	Lauf3Units	Lauf3mm
0.100799995	260774	4.973869324	0.067199998	3001	0.057239532	0.067199998	3621	0.069065094
0.101999995	271260	5.173873901	0.067999998	4320	0.082397461	0.067999998	5104	0.097351074
0.103199995	281746	5.373878479	0.068799998	5977	0.114002228	0.068799998	6945	0.132465363
0.104399995	292232	5.573883057	0.069599998	8012	0.152816772	0.069599998	9184	0.175170898
0.105599995	302717	5.773868561	0.070399998	10464	0.199584961	0.070399998	11857	0.226154327
0.106799995	313203	5.973873138	0.071199998	13370	0.255012512	0.071199998	15006	0.286216736
0.107999995	323689	6.173877716	0.071999998	16767	0.319805145	0.071999998	18655	0.355815887
0.109199995	334175	6.373882294	0.072799998	20668	0.394210815	0.072799998	22807	0.435009003
0.110399995	344660	6.573867798	0.073599998	25072	0.478210449	0.073599998	27463	0.523815155
0.111599994	355146	6.773872375	0.074399998	29979	0.571804047	0.074399998	32622	0.622215271
0.112799994	365632	6.973876953	0.075199998	35390	0.675010681	0.075199998	38284	0.730209351
0.113999994	376118	7.173881531	0.075999998	41304	0.787811279	0.075999998	44450	0.847816467
0.115199994	386603	7.373867035	0.076799998	47721	0.910205841	0.076799998	51119	0.975017548
0.116399994	397089	7.573871613	0.077599998	54642	1.04221344	0.077599998	58291	1.111812592
0.117599994	407575	7.77387619	0.078399998	62066	1.183815002	0.078399998	65966	1.258201599
0.118799994	418061	7.973880768	0.079199998	69993	1.335010529	0.079199998	74145	1.414203644
0.119999994	428547	8.173885345	0.079999998	78423	1.495800018	0.079999998	82828	1.579818726
0.121199994	439032	8.37387085	0.080799998	87357	1.666202545	0.080799998	92013	1.755008698
0.122399994	449518	8.573875427	0.081599998	96795	1.846218109	0.081599998	101702	1.939811707
0.123599994	460004	8.773880005	0.082399998	106735	2.035808563	0.082399998	111894	2.134208679
0.124799994	470490	8.973884583	0.083199998	117179	2.235012054	0.083199998	122590	2.338218689
0.125999994	480975	9.173870087	0.083999998	128119	2.443675995	0.083999998	133788	2.551803589
0.127199994	491461	9.373874664	0.084799998	139525	2.66122818	0.084799998	145490	2.775001526
0.128399994	501947	9.573879242	0.085599998	151358	2.886924744	0.085599998	157696	3.0078125
0.129599994	512433	9.77388382	0.086399998	163580	3.120040894	0.086399998	170405	3.250217438
0.130799994	522918	9.973869324	0.087199998	176151	3.35981369	0.087199998	183617	3.502216339
0.131999993	533404	10.1738739	0.087999998	189032	3.605499268	0.087999998	197332	3.763809204
0.133199993	543890	10.37387848	0.088799998	202186	3.856391907	0.088799998	211551	4.035015106
0.134399993	554376	10.57388306	0.089599998	215573	4.111728668	0.089599998	226273	4.315814972
0.135599993	564861	10.77386856	0.090399998	229155	4.37078476	0.090399998	241498	4.606208801
0.136799993	575347	10.97387314	0.091199998	242892	4.632797241	0.091199998	257227	4.906215668
0.137999993	585833	11.17387772	0.091999998	256747	4.897060394	0.091999998	273459	5.215816498
0.139199993	596319	11.37388229	0.092799998	270681	5.162830353	0.092799998	290194	5.535011292
0.140399993	606804	11.5738678	0.093599998	284654	5.429344177	0.093599998	307432	5.863800049
0.141599993	617290	11.77387238	0.094399998	298635	5.69601059	0.094399998	325173	6.20218277
0.142799993	627776	11.97387695	0.095199998	312616	5.962677002	0.095199998	343393	6.549701691
0.143999993	638262	12.17388153	0.095999998	326597	6.229343414	0.095999998	362055	6.905651093
0.145199993	648747	12.37386703	0.096799998	340578	6.496009827	0.096799998	381121	7.269306183
0.146399993	659233	12.57387161	0.097599998	354559	6.762676239	0.097599998	400551	7.639904022
0.147599993	669719	12.77387619	0.098399998	368540	7.029342651	0.098399998	420307	8.016719818
0.148799993	680205	12.97388077	0.099199997	382521	7.296009064	0.099199997	440350	8.399009705
0.149999993	690690	13.17386627	0.099999997	396502	7.562675476	0.099999997	460642	8.786048889
