Ampere	Zyklus1	Zyklus2	Zyklus3	Zyklus4
0	0	0	0	0
0.1	0	0	0	0
0.2	1	0	0	1
0.3	0	0	0	0
0.4	1	0	0	2
0.5	0	0	0	2
0.6	2	0	0	2
0.7	1	0	0	3
0.8	2	0	0	10
0.9	7	8	0	11
1	8	4	6	5
1.1	15	5	9	27
1.2	10	13	11	13
1.3	11	11	8	7
1.4	7	15	15	6
1.5	7	7	7	6
1.6	6	4	7	2
1.7	13	2	5	4
1.8	9	5	3	14
1.9	23	3	1	17
2	11	3	0	4
2.1	0	18	3	0
2.2	0	11	9	0
2.3	0	11	10	0
2.4	2	7	11	0
2.5	0	3	24	0
2.6	0	1	3	0
2.7	0	3	2	0
2.8	0	0	0	0
2.9	0	1	1	0
3	0	1	0	0
3.1	0	0	0	0
3.2	0	0	0	0
3.3	0	0	0	0
3.4	0	0	1	0
