% TYPE=CHART-DATA-ASCII V=2.0 TITLE=""980 ... CTRL Position controller: Lag error. 08/12/15. 15:39:46"" XUNIT=""time/s"" YUNIT=""Units"" FORMULA=""DO_NOT_CHANGE_ORIGINAL_DATA"" DATASOURCE=""TraceType=ACP10:ParID=112:NcObjName=980:HwConfStruct=00:0001:01:8001:00:13:ini_par:"" ROWS=1000 COLS=2 COLSEP=""SEMICOLON"" "			
% TYPE=CHART-DATA-ASCII V=2.0 TITLE=""980 ... CTRL Position controller: Set speed. 08/12/15. 15:39:46"" XUNIT=""time/s"" YUNIT=""Units/s"" FORMULA=""DO_NOT_CHANGE_ORIGINAL_DATA"" DATASOURCE=""TraceType=ACP10:ParID=114:NcObjName=980:HwConfStruct=00:0001:01:8001:00:13:ini_par:"" ROWS=1000 COLS=2 COLSEP=""SEMICOLON"" "			
% TYPE=CHART-DATA-ASCII V=2.0 TITLE=""980 ... CTRL Position controller: Set position. 08/12/15. 15:39:46"" XUNIT=""time/s"" YUNIT=""Units"" FORMULA=""DO_NOT_CHANGE_ORIGINAL_DATA"" DATASOURCE=""TraceType=ACP10:ParID=113:NcObjName=980:HwConfStruct=00:0001:01:8001:00:13:ini_par:"" ROWS=1000 COLS=2 COLSEP=""SEMICOLON"" "			
Zeit	Lag_Error	Set_speed	Set_position
0	-0.004760738	0.574358962	0.000305176
0.002	0.003388734	7.035896778	0.008049011
0.004	0.02080109	20.6769228	0.037345886
0.006	0.025519689	41.49744034	0.102539063
0.007999999	0.022088857	69.49743748	0.217971802
0.009999999	0.019683237	104.502573	0.397968292
0.011999999	0.008942056	137.9384613	0.64825058
0.013999999	-0.008823399	164.1948891	0.956783295
0.015999999	-0.008311588	183.2718086	1.309204102
0.017999999	-0.009579221	195.16922	1.691188812
0.019999999	-0.011761375	199.8871613	2.088336945
0.021999998	-0.006688666	199.9999809	2.488327026
0.023999998	-0.001468733	199.9999809	2.888336182
0.025999998	0.005123299	199.9999809	3.288326263
0.027999998	0.007598437	199.9999809	3.688335419
0.029999998	0.002945457	199.9999809	4.0883255
0.031999998	0.003740937	199.9999809	4.488334656
0.033999998	0.000632908	199.9999809	4.888324738
0.035999998	0.004124306	199.9999809	5.288333893
0.037999997	0.004642028	199.9999809	5.688323975
0.039999997	0.004334226	199.9999809	6.08833313
0.041999997	0.003149938	199.9999809	6.488323212
0.043999997	0.001240857	199.9999809	6.888332367
0.045999997	0.003941003	199.9999809	7.288322449
0.047999997	-0.000138581	199.9999809	7.688331604
0.049999997	0.002195295	199.9999809	8.088321686
0.051999996	0.000500791	199.9999809	8.488330841
0.053999996	0.001304019	199.9999809	8.888320923
0.055999996	-0.00099577	199.9999809	9.288330078
0.057999996	-0.00176983	199.9999809	9.68832016
0.059999996	0.000464059	199.9999809	10.08832932
0.061999996	-0.001728367	199.9999809	10.48833847
0.063999996	0.001259856	199.9999809	10.88832855
0.065999995	-0.000681109	199.9999809	11.28833771
0.067999995	-0.000839271	199.9999809	11.68832779
0.069999995	-0.000173133	199.9999809	12.08833694
0.071999995	-0.000150725	199.9999809	12.48832703
0.073999995	0.001960825	199.9999809	12.88833618
0.075999995	-0.000910573	199.9999809	13.28832626
0.077999995	-0.001242217	199.9999809	13.68833542
