% 1-10788-38207-E-Lauf1	42213.47444				
Zeit	Drehmoment	Geschwindigkeit	Position	Schleppfehler	Positionsdifferenz
0	2.123683691	-0.74494338	0.008716583	0.000918203	-0.002642572
0.0012	1.106259584	-0.279297173	0.002269745	-0.000658698	-0.003152788
0.0024	0.179326549	-0.028590046	0.000171661	-0.000788644	-0.002540797
0.0036	-0.578063369	0.019518508	0	-0.000976622	-0.002247542
0.0048	-0.691553652	-0.070605926	0	-0.000976622	-0.00263676
0.006	-0.431318849	-0.101443917	0	0	-0.002815872
0.0072	-0.324173957	-0.08941111	0	0.000976473	-0.003006458
0.0084	-0.281774372	-0.06134861	0	0.001953095	-0.002907217
0.0096	-0.326730102	-0.030707344	0	0.001953095	-0.003424585
0.010799999	-0.369625509	-0.011592809	0	0.002929717	-0.002667308
0.011999999	-0.368642956	-0.000628172	0	0.002929717	-0.002723932
0.013199999	-0.395155489	-0.000221691	0	0.002929717	-0.002709031
0.014399999	-0.377438813	-4.30451E-05	0	0.002929717	-0.002716184
0.015599999	-0.359603494	0.001317149	0	0.002929717	-0.002706647
0.016799999	-0.368214011	0.000623612	0	0.002929717	-0.002690554
0.017999999	-0.343064427	0.003343879	0	0.002929717	-0.002667308
0.019199999	-0.319148988	0.004217588	0	0.002929717	-0.002618432
0.020399999	-0.292100042	0.001434944	0	0.002929717	-0.002584457
0.021599999	-0.273912251	-0.001241849	0	0.002929717	-0.002588034
0.022799999	-0.254043549	0.002872353	0	0.002929717	-0.002581477
0.023999999	-0.24777703	0.004834207	0	0.002929717	-0.002526641
0.025199999	-0.247149229	0.003826436	0	0.002929717	-0.002470613
0.026399999	-0.200834453	-0.000696912	0	0.002929717	-0.002456307
0.027599999	-0.186049402	0.001774922	0	0.002929717	-0.002452135
0.028799999	-0.173206434	0.002872924	0	0.002929717	-0.002424121
0.029999999	-0.147302896	0.005067046	0	0.002929717	-0.002375245
0.031199998	-0.143648595	0.003757897	0	0.002929717	-0.002315044
0.032399998	-0.111467078	0.002270608	0	0.002929717	-0.002284646
0.033599998	-0.097652361	0.003595459	0	0.002929717	-0.002247691
0.034799998	-0.085745119	0.00515517	0	0.002929717	-0.002196431
0.035999998	-0.064830415	0.004620747	0	0.002929717	-0.002139211
0.037199998	-0.040756322	0.004998895	0	0.002929717	-0.002084374
0.038399998	-0.032911137	0.00418524	0	0.002929717	-0.002028346
0.039599998	-0.026261995	0.006356479	0	0.002929717	-0.001968741
0.040799998	-0.090299658	0.00763372	0	0.001953095	-0.00284642
0.041999998	-0.078288473	0.000561655	0	0.001953095	-0.00280112
0.043199998	-0.019328076	0.000148474	0	0.001953095	-0.002813041
0.044399998	-0.030143524	0.003839369	0	0.001953095	-0.002780855
0.045599998	-0.009940102	0.005491929	0	0.001953095	-0.002725422
0.046799998	-0.018104883	0.005000866	0	0.001953095	-0.002660453
0.047999998	-0.02643846	0.00514919	0	0.001953095	-0.002593696
0.049199998	-0.020818289	0.004615997	0	0.001953095	-0.002540052
0.050399998	-0.002606271	0.006039574	0	0.001953095	-0.002475679
0.051599997	0.002132975	0.007572888	0	0.001953095	-0.002392828
0.052799997	0.005768474	0.008313965	0	0.001953095	-0.002298057
0.053999997	0.010032604	0.008211457	0	0.001953095	-0.002199113
0.055199997	-0.005225462	0.008477611	0	0.001953095	-0.002095401
0.056399997	0.001210542	0.008584215	0	0.001953095	-0.001992881
0.057599997	-0.002312108	0.011307671	0	0.000976473	-0.002862215
0.058799997	0.018870767	0.018907908	0	0.000976473	-0.002663732
0.059999997	0.00968617	0.013219865	0	0.000976473	-0.002467036
0.061199997	0.34687227	0.018355709	0.000247955	0.001207242	-0.00234127
0.062399997	1.760598302	0.189335972	0.002555847	0.003514935	-0.001264811
0.063599997	3.137658596	0.648581445	0.009422302	0.005509045	-0.001027584
0.064799997	4.358971596	1.365471601	0.023365021	0.007728785	-0.000274628
0.065999997	5.421178341	2.313765049	0.046863556	0.009736746	0.000986159
0.067199997	6.385393143	3.467154264	0.082397461	0.011095519	0.002379715
0.068399997	7.283543587	4.809425831	0.132465363	0.010391219	0.002370924
0.069599997	8.161507607	6.335935593	0.199584961	0.010116004	0.003137589
0.070799996	9.083768845	8.04882431	0.286216736	0.012762483	0.006905645
0.071999996	9.154064178	9.959308624	0.394115448	0.012276801	0.008344203
0.073199996	7.355068207	11.68623543	0.522174835	0.00946363	0.009620041
0.074399996	5.827939034	13.00307274	0.667896271	0.003819508	0.008190125
0.075599996	4.899022102	14.05617905	0.828800201	0.003594381	0.010747761
0.076799996	4.211885929	14.94037056	1.002407074	0.001413124	0.010013431
0.077999996	3.503728628	15.66406059	1.186199188	0.000642857	0.010020286
0.079199996	2.580227375	16.21463966	1.377716064	0.002697178	0.0126113
0.080399996	1.628304958	16.57297897	1.574420929	0.002154801	0.012684911
0.081599996	0.528764844	16.72470093	1.773872375	0.000429009	0.011752397
0.082799996	0.053123366	16.66126251	1.973876953	-0.001719557	0.010072738
0.083999996	0.300559044	16.55860329	2.173881531	-0.000938256	0.010025948
0.085199996	0.672441006	16.52156448	2.373867035	0.002772612	0.012114197
0.086399996	0.933653474	16.5699234	2.573871613	0.003553913	0.011429042
0.087599996	0.788812041	16.63175583	2.77387619	0.004335213	0.011541396
0.088799996	0.694425881	16.66493607	2.973880768	0.00316327	0.010182709
0.089999996	0.52443701	16.6821003	3.173885345	0.001991624	0.009144992
0.091199995	0.5343014	16.69377327	3.37387085	0.003748951	0.011153966
0.092399995	0.489776939	16.70053101	3.573875427	0.003553629	0.011321157
0.093599995	0.472026467	16.70112991	3.773880005	0.002381983	0.010566562
0.094799995	0.480808198	16.68937683	3.973884583	0.001210338	0.009717792
0.095999995	0.453775167	16.67504883	4.173870087	3.80957E-05	0.00876978
0.097199995	0.468999714	16.63852501	4.373874664	0.001796018	0.01038298
0.098399995	0.703598797	16.63523865	4.573879242	0.002577021	0.010732263
0.099599995	0.629787564	16.66965485	4.77388382	0.002381699	0.010388345
0.100799995	0.602727532	16.68112564	4.973869324	0.001210053	0.009367615
0.101999995	0.485782325	16.68248558	5.173873901	3.84077E-05	0.008447021
0.103199995	0.502248585	16.65941048	5.373878479	0.001795734	0.010243803
0.104399995	0.606906772	16.67004776	5.573883057	0.002577333	0.010960847
0.105599995	0.524753273	16.68420029	5.773868561	0.001405091	0.009967536
0.106799995	0.512095273	16.66862106	5.973873138	0.000233445	0.008931905
0.107999995	0.583238721	16.64808846	6.173877716	3.81237E-05	0.008594245
0.109199995	0.656558037	16.65389252	6.373882294	0.001796046	0.010101348
0.110399995	0.588990808	16.69101715	6.573867798	0.001600725	0.009972304
0.111599994	0.512295425	16.70799255	6.773872375	0.000428483	0.009229928
0.112799994	0.330270469	16.69018555	6.973876953	-0.000743163	0.00847891
0.113999994	0.316355914	16.66446686	7.173881531	-0.000938484	0.00837341
0.115199994	0.514941156	16.66555214	7.373867035	0.000819438	0.01007542
0.116399994	0.513753235	16.66424179	7.573871613	0.000624117	0.009866804
0.117599994	0.553822339	16.64697647	7.77387619	0.000428795	0.009507984
0.118799994	0.660700023	16.63684845	7.973880768	-0.000743447	0.007980913
