%	Kombinierte Traces		NCA 4	p=10						
Zeit	Drehmoment	Standardabweichung_Drehmoment	Geschwindigkeit	StandardabweichungGeschwindigkeit	Position	StandardabweichungPosition	lag_error	Standardabweichunglag_error	Positions_differenz	StandardabweichungPositions_differenz
0.035199999	0.015650025	0.030438857	0.024831568	0.009235342	0	0	0.002921817	0.000470673	-0.003033632	0.002541196
0.035999999	0.020093339	0.03686244	0.023336487	0.009295274	0	0	0.002811267	0.000495833	-0.002952935	0.002542445
0.036799999	0.022544409	0.039192036	0.021389712	0.009144342	0	0	0.002516472	0.000523555	-0.003070654	0.002650254
0.037599999	0.025641509	0.035451718	0.019603959	0.008670053	0	0	0.00235063	0.00052335	-0.003075164	0.002597983
0.038399999	0.021578521	0.036515992	0.018234888	0.008954581	0	0	0.002258502	0.000499203	-0.003017994	0.002678843
0.039199999	0.021043461	0.039681228	0.016800133	0.009376548	0	0	0.002074244	0.000470706	-0.00306344	0.002638736
0.039999999	0.021010784	0.03693599	0.015226847	0.009403344	0	0	0.001982116	0.000381304	-0.003029133	0.002631648
0.040799999	0.024448675	0.033321184	0.01411478	0.008043886	0	0	0.001871563	0.000324394	-0.003024407	0.002637469
0.041599999	0.024287328	0.033633444	0.01341391	0.00697218	0	0	0.001816286	0.000335065	-0.002970333	0.002613145
0.042399999	0.022734886	0.034591315	0.012893198	0.006945592	0	0	0.001761002	0.000431291	-0.002921218	0.002531042
0.043199999	0.02671927	0.035736049	0.012935862	0.00639247	0	0	0.001595166	0.000474954	-0.002984331	0.002613037
0.043999999	0.026130516	0.038754766	0.013055735	0.006415647	0	0	0.001503032	0.000492503	-0.002971949	0.002707287
0.044799999	0.022494482	0.038674433	0.012660122	0.007138516	0	0	0.001355623	0.000483044	-0.003016068	0.002575563
0.045599999	0.019297636	0.033771098	0.011598465	0.007285618	0	0	0.001245065	0.000446396	-0.003029656	0.002585143
0.046399999	0.019353835	0.032038886	0.010172908	0.007057172	0	0	0.001134504	0.000371298	-0.003053813	0.002576055
0.047199999	0.021243247	0.033838871	0.008938987	0.006448697	0	0	0.001097656	0.000386082	-0.003016065	0.002653114
0.047999999	0.024494289	0.037580283	0.008255453	0.005949986	0	0	0.001060805	0.000346756	-0.002985557	0.002626108
0.048799999	0.027075526	0.036856284	0.008164233	0.005734363	0	0	0.00095025	0.000302771	-0.00303116	0.002528286
0.049599999	0.02228532	0.03642695	0.008300514	0.00603634	0	0	0.001005528	0.00026945	-0.00290984	0.002605058
0.050399999	0.022559236	0.033908858	0.008315709	0.006049038	0	0	0.000894969	0.000261535	-0.002954344	0.002585845
0.051199999	0.022119351	0.035542613	0.00768951	0.005653626	0	0	0.000931815	0.000269664	-0.002853356	0.00260152
0.051999999	0.023361226	0.03741753	0.006718698	0.004760639	0	0	0.00082127	0.000401886	-0.002907163	0.002594066
0.052799999	0.025572539	0.037720083	0.005919291	0.005750574	0	0	0.000821262	0.00035454	-0.002858003	0.002545777
0.053599999	0.025506286	0.036874887	0.006136775	0.00639796	0	0	0.000784408	0.000387911	-0.002847409	0.002562743
0.054399999	0.026032465	0.037891821	0.007034949	0.005976072	0	0	0.000729128	0.000427312	-0.002849428	0.002619717
0.055199999	0.025027618	0.040017066	0.007773762	0.005925339	0	0	0.000673856	0.000454558	-0.002843937	0.002538256
0.055999999	0.022672599	0.039203932	0.007468495	0.006227577	0	0	0.000655443	0.000461001	-0.002800086	0.002628493
0.056799999	0.023365316	0.040251513	0.006485409	0.005472726	0	0	0.000563317	0.000485787	-0.002836965	0.002700585
0.057599999	0.022636751	0.037853614	0.005177224	0.006008957	0	0	0.00037906	0.00048317	-0.002975888	0.002692587
0.058399999	0.022457383	0.038161616	0.004204029	0.006881213	0	0	0.000360636	0.000478997	-0.00295842	0.002763766
0.059199999	0.019783159	0.034450685	0.003504809	0.007069788	0	0	0.000305361	0.000460683	-0.002983668	0.002690926
0.059999998	0.019014531	0.034062355	0.003184346	0.006988097	0	0	0.000231662	0.000424521	-0.003031636	0.002631433
0.060799998	0.016954789	0.031938039	0.003361477	0.006596113	0	0	0.000194812	0.000399629	-0.003042187	0.002590858
0.061599998	0.016256623	0.03192824	0.003098949	0.006489178	0	0	0.000139534	0.000353289	-0.003071278	0.002692083
0.062399998	0.014094458	0.032874742	0.002050531	0.006901746	0	0	8.42562E-05	0.00028832	-0.00310647	0.002559345
