%	Motor: Torque	Motor: Torque	Motor: Torque	Motor: Torque	CTRL Speed controller: Actual speed	CTRL Speed controller: Actual speed	CTRL Speed controller: Actual speed	CTRL Speed controller: Actual speed	CTRL Position controller: Set position	CTRL Position controller: Set position	CTRL Position controller: Set position	CTRL Position controller: Set position	CTRL Position controller: Lag error	CTRL Position controller: Lag error	CTRL Position controller: Lag error	CTRL Position controller: Lag error	CTRL Two encoder control: Positions difference	CTRL Two encoder control: Positions difference	CTRL Two encoder control: Positions difference	CTRL Two encoder control: Positions difference	CTRL Current controller: Actual stator current quadrature component	CTRL Current controller: Actual stator current quadrature component	CTRL Current controller: Actual stator current quadrature component	CTRL Current controller: Actual stator current quadrature component
Zeit	MittelwertMotorTorque	StandardabweichungMotorTorque	minus3sigmaMotorTorque	plus3sigmaMotorTorque	MittelwertActualSpeed	StandardabweichungActualSpeed	minus3sigmaActualSpeed	plus3sigmaActualSpeed	MittelwertSetPosition	StandardabweichungSetPosition	minus3sigmaSetPosition	plus3sigmaSetPosition	MittelwertLagError	StandardabweichungMittelwertLagError	minus3sigmaMittelwertLagError	plus3sigmaMittelwertLagError	MittelwertPositionsDifference	StandardabweichungPositionsDifference	minus3sigmaPositionsDifference	plus3sigmaPositionsDifference	MittelwertStatorCurrent	StandardabweichungStatorCurrent	minus3sigmaStatorCurrent	plus3sigmaStatorCurrent
0.0048	9.87081E-05	6.83771E-05	-0.000106423	0.000303839	1.22394E-05	1.28954E-05	-2.64469E-05	5.09257E-05	-0.000498136	0.023469083	-0.070905384	0.069909113	0.003896222	0.00593088	-0.013896417	0.021688861	-0.00622269	0.00424882	-0.018969149	0.006523769	0.000191516	0.000109782	-0.000137831	0.000520863
0.0052	0.000147535	6.72203E-05	-5.41254E-05	0.000349196	1.98024E-05	1.69567E-05	-3.10678E-05	7.06726E-05	0.006151517	0.026982056	-0.074794652	0.087097686	0.007730456	0.006487569	-0.011732251	0.027193162	-0.005487502	0.004301289	-0.018391368	0.007416365	0.000270561	0.000103828	-4.09226E-05	0.000582045
0.0056	0.000195706	6.15065E-05	1.11868E-05	0.000380226	3.05954E-05	2.08545E-05	-3.19682E-05	9.3159E-05	0.015195529	0.030999731	-0.077803664	0.108194721	0.012183854	0.00656585	-0.007513695	0.031881404	-0.004436977	0.004193895	-0.017018663	0.008144709	0.000344779	9.16688E-05	6.97728E-05	0.000619785
0.006	0.000239956	5.27024E-05	8.1849E-05	0.000398063	4.45259E-05	2.44089E-05	-2.87007E-05	0.000117752	0.026985486	0.035494016	-0.079496562	0.133467535	0.016681707	0.006270816	-0.002130741	0.035494155	-0.003324645	0.004319007	-0.016281665	0.009632375	0.000410738	7.56379E-05	0.000183824	0.000637651
0.0064	0.000277136	4.23575E-05	0.000150064	0.000404209	6.12822E-05	2.74148E-05	-2.09622E-05	0.000143527	0.041858355	0.040443204	-0.079471258	0.163187968	0.02110544	0.005678033	0.00407134	0.03813954	-0.001977513	0.004293506	-0.014858031	0.010903004	0.00046361	5.94844E-05	0.000285157	0.000642063
0.0068	0.000306839	3.25702E-05	0.000209128	0.000404549	8.03859E-05	2.98211E-05	-9.07746E-06	0.000169849	0.060137113	0.045820027	-0.077322968	0.197597193	0.024913999	0.004853065	0.010354804	0.039473194	-0.000730976	0.004334314	-0.013733918	0.012271965	0.000504531	4.52613E-05	0.000368747	0.000640315
0.0072	0.000329532	2.46236E-05	0.000255662	0.000403403	0.000101352	3.16845E-05	6.29863E-06	0.000196406	0.082125028	0.051604716	-0.072689121	0.236939177	0.028071732	0.003983955	0.016119866	0.040023598	0.000482226	0.004383079	-0.012667011	0.013631464	0.000535511	3.54278E-05	0.000429227	0.000641794
0.0076	0.000345839	1.89701E-05	0.000288929	0.00040275	0.000123704	3.31121E-05	2.43676E-05	0.00022304	0.108115832	0.057773082	-0.065203413	0.281435077	0.030690601	0.003204333	0.021077601	0.040303601	0.001800202	0.004560844	-0.011882331	0.015482735	0.000557599	3.07736E-05	0.000465278	0.00064992
0.008	0.000357962	1.48488E-05	0.000313416	0.000402509	0.000147039	3.42289E-05	4.43528E-05	0.000249726	0.138387362	0.064304343	-0.054525666	0.33130039	0.032721111	0.002616125	0.024872734	0.040569487	0.003111494	0.00478078	-0.011230847	0.017453835	0.000576253	2.8342E-05	0.000491227	0.00066128
0.0084	0.000367364	1.28928E-05	0.000328686	0.000406043	0.00017115	3.51798E-05	6.56107E-05	0.000276689	0.173194885	0.071178482	-0.040340559	0.38673033	0.034294329	0.002464717	0.026900179	0.04168848	0.004460342	0.004950153	-0.010390118	0.019310802	0.000593077	2.89503E-05	0.000506226	0.000679928
0.0088	0.000375139	1.24392E-05	0.000337821	0.000412456	0.00019588	3.60063E-05	8.78614E-05	0.000303899	0.212789536	0.078376743	-0.022340693	0.447919764	0.035201288	0.002481527	0.027756705	0.04264587	0.005514371	0.004949692	-0.009334706	0.020363448	0.000609938	3.01915E-05	0.000519363	0.000700512
0.0092	0.000382426	1.28902E-05	0.000343755	0.000421096	0.000221211	3.68553E-05	0.000110645	0.000331777	0.257403692	0.085877463	-0.000228699	0.515036082	0.035886066	0.002657689	0.027912999	0.043859132	0.006610004	0.004797016	-0.007781044	0.021001051	0.000627337	3.14363E-05	0.000533028	0.000721646
0.0096	0.00039003	1.32248E-05	0.000350356	0.000429705	0.000247185	3.77884E-05	0.00013382	0.00036055	0.307255745	0.093660505	0.02627423	0.588237259	0.03638797	0.002684293	0.028335092	0.044440848	0.007697036	0.004883213	-0.006952605	0.022346676	0.000646095	3.20018E-05	0.000550089	0.0007421
0.01	0.000397734	1.29605E-05	0.000358852	0.000436616	0.000273829	3.88453E-05	0.000157293	0.000390365	0.362547239	0.10170763	0.057424349	0.667670128	0.036895219	0.002699425	0.028796944	0.044993493	0.008894419	0.005087773	-0.006368899	0.024157736	0.000664397	3.05993E-05	0.000572599	0.000756195
