%	1-10788-38173-A-16.06.2015_P10		Axiales Spiel		
Zeit	Drehmoment	Geschindigkeit	Position	lag_error	Positions_Differenz
0	3.778416395	-0.952475548	0.00951767	0.002687037	4.87268E-05
0.0008	2.495460033	-0.428463846	0.003395081	0.001438908	0.00013575
0.0016	1.24346745	-0.088758506	0.000705719	0.000697974	0.000571311
0.0024	0.175447971	0.069750026	1.90735E-05	1.7947E-05	0.000856221
0.0032	-0.906302273	0.057416823	0	-0.000988096	0.00056386
0.004	-1.024150848	-0.055140652	0	-0.000988096	0.000513196
0.0048	-0.69040066	-0.139521837	0	-0.000988096	-0.000417829
0.0056	-0.312756658	-0.171263844	0	0.000965148	0.00020802
0.0064	-0.041413393	-0.160646915	0	0.001941621	-0.000176877
0.0072	-0.005592248	-0.12829046	0	0.002918243	-0.000330359
0.008	-0.005691308	-0.089629948	0	0.003894717	-0.000200272
0.0088	-0.015429373	-0.047772158	0	0.004871339	0.000273287
0.0096	-0.11824318	-0.017411947	0	0.004871339	5.03659E-05
0.0104	-0.199530602	0.001454264	0	0.004871339	1.69873E-05
0.0112	-0.28906244	0.004365662	0	0.004871339	6.04987E-05
0.012	-0.247659311	0.001027225	0	0.004871339	7.89762E-05
0.0128	-0.21219565	-0.001137205	0	0.004871339	7.30157E-05
0.0136	-0.193182468	0.002033714	0	0.004871339	7.6592E-05
0.0144	-0.215698123	0.005342513	0	0.004871339	0.000115931
0.0152	-0.168146953	0.005577253	0	0.004871339	0.000164211
0.016	-0.177788034	0.005908574	0	0.004871339	0.000214279
0.0168	-0.133475408	0.005081778	0	0.004871339	0.000258982
0.0176	-0.099555522	0.005542331	0	0.004871339	0.000302494
0.0184	-0.113929279	0.006437245	0	0.004871339	0.000350773
0.0192	-0.077224702	0.009836625	0	0.004871339	0.00041157
0.019999999	-0.093010642	0.009853509	0	0.004871339	0.000493824
0.020799999	-0.053189613	0.008615905	0	0.004871339	0.000560582
0.021599999	-0.04166032	0.009088036	0	0.004871339	0.000627339
0.022399999	-0.01583194	0.009536639	0	0.004871339	0.000699461
0.023199999	-0.01474735	0.01067295	0	0.004871339	0.000781715
0.023999999	0.000854918	0.011135126	0	0.004871339	0.00086993
0.024799999	-0.008284116	0.013026657	0	0.004871339	0.000970066
0.025599999	-0.005846745	0.015696701	0	0.003894717	0.000114441
0.026399999	-0.032040503	0.018070813	0	0.004871339	0.001237094
0.027199999	-0.009186696	0.01433558	0	0.003894717	0.000392795
0.027999999	0.003588647	0.010870438	0	0.003894717	0.00048995
0.028799999	0.002685322	0.010439663	0	0.003894717	0.000572801
0.029599999	-0.00513856	0.011260243	0	0.003894717	0.000655651
0.030399999	-0.005677591	0.0144594	0	0.003894717	0.000759959
0.031199999	-0.003217107	0.018170433	0	0.003894717	0.000891089
0.031999999	-0.003104519	0.024260391	0	0.003894717	0.001060963
0.032799999	0.001586466	0.029660843	0	0.002918243	0.000306219
0.033599999	-0.002875305	0.032717831	0	0.002918243	0.000561327
0.034399999	-0.005529982	0.033542193	0	0.002918243	0.000827163
0.035199999	-0.00569438	0.033044234	0	0.002918243	0.001095384
0.035999999	-0.00556377	0.031103902	0	0.002918243	0.001354665
0.036799999	-0.025636578	0.022470344	0	0.001941621	0.000592023
0.037599999	-0.022164928	0.009646601	0	0.001941621	0.00071004
0.038399999	-0.007918205	-0.000682313	0	0.001941621	0.000730306
0.039199999	-0.00575279	-0.003209141	0	0.001941621	0.000703484
0.039999999	-0.005694611	0.000889076	0	0.001941621	0.000688583
0.040799999	0.002026126	0.008819313	0	0.001941621	0.000735074
0.041599999	0.003740384	0.013505904	0	0.001941621	0.000832826
0.042399999	0.00383669	0.01663935	0	0.001941621	0.000956804
0.043199999	-0.004894952	0.018129729	0	0.001941621	0.001096874
0.043999999	-0.004973032	0.019005189	0	0.001941621	0.001244694
0.044799999	-0.005556361	0.019069217	0	0.000965148	0.000420213
0.045599999	-0.010334681	0.01846786	0	0.001941621	0.00154689
0.046399999	-0.005837273	0.017713156	0	0.000965148	0.000717044
0.047199999	-0.005679134	0.016883677	0	0.000965148	0.000856519
0.047999999	-0.035585809	0.00882246	0	0.000965148	0.000962019
0.048799999	-0.007550188	-0.000854893	0	0.000965148	0.000982285
0.049599999	-0.002846932	-0.003806661	0	0.000965148	0.000952482
0.050399999	-0.003145821	-0.001141299	0	0.000965148	0.000930429
0.051199999	-0.00553565	0.003616706	0	0.000965148	0.000945926
0.051999999	-0.005684687	0.006754615	0	0.000965148	0.000993609
0.052799999	-0.010435333	0.008226646	0	0.000965148	0.001054406
0.053599999	-0.005951605	0.00938967	0	0.000965148	0.001127124
0.054399999	0.002677889	0.010356428	0	0.000965148	0.001206398
0.055199999	0.003836824	0.010957018	0	-1.14739E-05	0.000317395
0.055999999	-0.001975294	0.010761724	0	-1.14739E-05	0.00040561
0.056799999	-0.038270399	0.003569021	0	-1.14739E-05	0.000468194
0.057599999	-0.010690546	-0.004470802	0	0.000965148	0.001426339
0.058399999	-0.006004817	-0.00421892	0	-1.14739E-05	0.000404418
0.059199999	-0.000971813	0.002167069	0	-1.14739E-05	0.000399649
0.059999998	-0.005211561	0.006766459	0	-1.14739E-05	0.000444949
0.060799998	-0.015407193	0.003747725	0	-1.14739E-05	0.000497997
0.061599998	-0.015159311	-0.004459633	0	-1.14739E-05	0.000484288
0.062399998	-0.006283946	-0.005419628	0	-1.14739E-05	0.000435412
0.063199998	-0.008099446	-0.000934773	0	-1.14739E-05	0.000409186
0.063999998	-0.005789741	0.004933466	0	-1.14739E-05	0.000433028
0.064799998	-0.035692919	0.000932328	0	-1.14739E-05	0.000466406
0.065599998	-0.011714572	-0.004961558	0	-1.14739E-05	0.000441372
0.066399998	-0.006068809	-0.003169258	0	-1.14739E-05	0.000404418
0.067199998	-0.005768679	0.00193465	0	0.000965148	0.001383424
0.067999998	-0.006961305	0.002235018	0	-1.14739E-05	0.000429451
0.068799998	-0.027918631	-0.001788149	0	0.000965148	0.001405478
0.069599998	-0.007081536	-0.002691523	0	0.000965148	0.00138104
0.070399998	-0.005621111	0.001917942	0	-1.14739E-05	0.000402033
0.071199998	-0.005687661	0.005558795	0	-1.14739E-05	0.000438392
0.071999998	-0.005878186	0.006149564	0	-1.14739E-05	0.000493824
0.072799998	-0.026259497	-0.002046404	0	-1.14739E-05	0.000510514
0.073599998	-0.007570011	-0.007140759	0	-1.14739E-05	0.000459254
0.074399998	-0.006402272	-0.004041202	0	-1.14739E-05	0.000410378
0.075199998	-0.005736706	0.002941861	0	0.000965148	0.001388192
0.075999998	-0.000955077	0.008034916	0	-1.14739E-05	0.000464022
0.076799998	-0.052191935	0.005149482	0	-1.14739E-05	0.000527203
0.077599998	-0.012771561	-0.003999494	0	-1.14739E-05	0.000521243
0.078399998	-0.007319405	-0.005809964	0	-1.14739E-05	0.000472367
0.079199998	-0.004608895	-0.001173373	0	-1.14739E-05	0.000443757
0.079999998	-0.000884569	0.004778855	0	-1.14739E-05	0.000465214
0.080799998	-0.005391109	0.007721319	0	-1.14739E-05	0.000522435
0.081599998	-0.036986597	0.00131146	0	-1.14739E-05	0.00056535
0.082399998	-0.008845753	-0.005505969	0	-1.14739E-05	0.000534356
0.083199998	-0.00588908	-0.005093868	0	-1.14739E-05	0.000483692
0.083999998	0.652764261	0.020804029	0.000457764	0.000433185	0.000502169
0.084799998	2.286986113	0.187965244	0.002670288	0.002656479	0.00128895
0.085599998	4.243950844	0.589084029	0.008106232	0.006128221	0.002541393
0.086399998	6.187432289	1.253320575	0.018157959	0.009341603	0.003456473
0.087199998	7.774068356	2.154651165	0.034255981	0.01274291	0.005044192
0.087999998	9.12682724	3.257921219	0.057811737	0.014825484	0.006090999
0.088799998	10.25631714	4.520793915	0.090274811	0.016035462	0.007050633
0.089599998	11.37277699	5.932641506	0.133056641	0.015842954	0.007151663
0.090399998	12.614007	7.492213249	0.187568665	0.017623819	0.00949204
0.091199998	13.93027496	9.218923569	0.255241394	0.019871099	0.012452602
0.091999998	15.24100208	11.12822533	0.337505341	0.022054899	0.015466362
0.092799998	16.46127319	13.2379055	0.435771942	0.022668273	0.017160922
0.093599998	17.85523987	15.50581455	0.55147171	0.025087364	0.020980239
0.094399998	19.30402565	17.90595055	0.686035156	0.025852129	0.023090988
0.095199998	20.30821037	20.46720886	0.840854645	0.02931518	0.027576238
