Hertz	mg
0.190734863	80.14607555
0.381469727	0.799342912
0.57220459	0.127889413
0.762939453	13.0555953
0.953674316	27.18179935
1.14440918	13.02195552
1.335144043	1.51405054
1.525878906	1.403309063
1.71661377	4.856635305
1.907348633	8.483203252
2.098083496	4.01769124
2.288818359	0.810581457
2.479553223	1.530483359
2.670288086	2.62872935
2.861022949	3.460877761
3.051757813	1.217006023
3.242492676	0.969105457
3.433227539	1.085629496
3.623962402	5.022247303
3.814697266	7.813846793
4.005432129	3.42176424
4.196166992	0.513187836
4.386901855	1.039034649
4.577636719	2.108680192
4.768371582	3.458500608
4.959106445	2.051582518
5.149841309	0.839958694
5.340576172	1.047132666
5.531311035	4.291334387
5.722045898	5.87216157
5.912780762	2.739193353
6.103515625	0.941321043
6.294250488	0.797218059
6.484985352	1.688665842
6.675720215	3.708503365
6.866455078	2.132595438
7.057189941	0.808210552
7.247924805	0.681625941
7.438659668	3.231570167
7.629394531	4.799514507
7.820129395	1.653684396
8.010864258	0.843236422
8.201599121	1.312016135
8.392333984	1.853179507
8.583068848	1.894400049
8.773803711	0.371476297
8.964538574	0.778647762
9.155273438	2.143046455
9.346008301	5.194404746
9.536743164	5.91013319
9.727478027	1.822865067
9.918212891	0.720877557
10.10894775	0.43251068
10.29968262	0.499620399
10.49041748	0.462619458
10.68115234	0.682153628
10.87188721	1.798641854
11.06262207	2.272915931
11.25335693	2.944006427
11.4440918	5.147539617
11.63482666	2.751824316
11.82556152	0.633973041
12.01629639	0.136376712
12.20703125	1.014183895
12.39776611	1.155742856
12.58850098	1.080345359
12.77923584	1.353767627
12.9699707	0.942067012
13.16070557	3.473528381
13.35144043	4.984991255
13.54217529	1.821623911
13.73291016	0.358239481
13.92364502	0.364392267
14.11437988	0.954408132
14.30511475	1.471095052
14.49584961	1.231671991
14.68658447	0.765040163
14.87731934	2.835237832
15.0680542	4.699661614
15.25878906	3.696063716
15.44952393	2.997893921
15.64025879	1.219340807
15.83099365	1.190906063
16.02172852	2.156499821
16.21246338	3.189044191
16.40319824	2.470899859
16.59393311	0.811426506
16.78466797	0.725532905
16.97540283	3.729217586
17.1661377	4.747714443
17.35687256	1.094807551
17.54760742	1.296435592
17.73834229	1.663683506
17.92907715	2.222977052
18.11981201	2.359552023
18.31054688	2.125513646
18.50128174	0.085124657
18.6920166	1.793566899
18.88275146	4.751177674
19.07348633	5.573438959
19.26422119	1.398367732
19.45495605	0.844941482
19.64569092	1.056126137
19.83642578	1.740627069
20.02716064	1.571140749
20.21789551	0.972018278
20.40863037	1.582701392
20.59936523	1.367794048
20.7901001	2.901848179
20.98083496	4.365813321
21.17156982	2.810912588
21.36230469	3.563441005
21.55303955	3.554582944
