%	3-10788-38173-A-stehend				
Zeit	Drehmoment	Geschwindigkeit	Position	Lag_error	Position_difference
0	4.299764156	-1.254490614	0.014324188	0.003587417	-0.006152093
0.0008	2.966304064	-0.65595603	0.005931854	0.002040337	-0.00615105
0.0016	1.772713304	-0.235345647	0.00169754	0.000735433	-0.006175339
0.0024	0.572111309	0.004252624	0.000190735	0.000202741	-0.005679876
0.0032	-0.475784034	0.077705264	0	-0.000980347	-0.00608176
0.004	-1.145072341	-0.011245988	0	-0.000980347	-0.005778968
0.0048	-0.882758737	-0.119232297	0	-0.000980347	-0.006462634
0.0056	-0.474744976	-0.172994614	0	-3.8743E-06	-0.006770045
0.0064	-0.200877532	-0.176792473	0	0.001949221	-0.006275475
0.0072	-0.017643051	-0.146761864	0	0.002925843	-0.006583929
0.008	-0.00951394	-0.102919549	0	0.003902465	-0.006568134
0.0088	-0.096989483	-0.062553972	0	0.004878938	-0.006203204
0.0096	-0.163299352	-0.029288163	0	0.004878938	-0.006525666
0.0104	-0.243595824	-0.005378849	0	0.004878938	-0.006621629
0.0112	-0.293337017	0.006071321	0	0.004878938	-0.006591827
0.012	-0.32569775	0.004728734	0	0.004878938	-0.006532222
0.0128	-0.292044103	-0.000412259	0	0.004878938	-0.006523877
0.0136	-0.258851767	0.000765858	0	0.004878938	-0.006532222
0.0144	-0.238950148	0.003680024	0	0.004878938	-0.006514341
0.0152	-0.266300887	0.006106647	0	0.004878938	-0.006472617
0.016	-0.261684984	0.004740255	0	0.004878938	-0.006433278
0.0168	-0.206567332	0.004030869	0	0.004878938	-0.006404668
0.0176	-0.194246799	0.00623102	0	0.004878938	-0.006361753
0.0184	-0.182077929	0.008268428	0	0.004878938	-0.006298572
0.0192	-0.158823133	0.007762467	0	0.004878938	-0.00622943
0.019999999	-0.150533482	0.006166222	0	0.004878938	-0.006169826
0.020799999	-0.129079983	0.005349338	0	0.00585556	-0.00514552
0.021599999	-0.084867485	0.00673252	0	0.004878938	-0.006073266
0.022399999	-0.086659566	0.009398732	0	0.004878938	-0.006002933
0.023199999	-0.065077513	0.010571199	0	0.004878938	-0.005921274
0.023999999	-0.054860979	0.011799318	0	0.004878938	-0.005830079
0.024799999	-0.060608119	0.012257918	0	0.004878938	-0.005735904
0.025599999	-0.0580284	0.011979244	0	0.004878938	-0.005641729
0.026399999	-0.004406306	0.014495024	0	0.004878938	-0.005538017
0.027199999	-0.01247265	0.018014334	0	0.004878938	-0.005404502
0.027999999	-0.021579828	0.019696468	0	0.003902465	-0.006224811
0.028799999	-0.03568631	0.016700298	0	0.004878938	-0.005102903
0.029599999	-0.015077711	0.01386808	0	0.003902465	-0.005961955
0.030399999	-0.002708725	0.013551368	0	0.003902465	-0.00585407
0.031199999	0.003665583	0.014043801	0	0.003902465	-0.005743206
0.031999999	-0.006148979	0.015760273	0	0.003902465	-0.005621612
0.032799999	-0.007594817	0.017823329	0	0.003902465	-0.005484521
0.033599999	-0.001138923	0.02060654	0	0.003902465	-0.005328357
0.034399999	-0.000214465	0.022577943	0	0.003902465	-0.005148947
0.035199999	-0.000628106	0.024452042	0	0.002925843	-0.005934834
0.035999999	-0.032097235	0.023153562	0	0.002925843	-0.005738139
0.036799999	-0.047939613	0.016860485	0	0.002925843	-0.005582571
0.037599999	-0.006940308	0.011996821	0	0.002925843	-0.005477667
0.038399999	-0.002271898	0.009429728	0	0.002925843	-0.005397797
0.039199999	-0.001420541	0.008924695	0	0.002925843	-0.005328655
0.039999999	-0.001467277	0.012329711	0	0.002925843	-0.005245209
0.040799999	-0.002965397	0.017525099	0	0.002925843	-0.005121231
0.041599999	-0.000907745	0.021956945	0	0.001949221	-0.005935133
0.042399999	-0.00506567	0.024981337	0	0.001949221	-0.005741417
0.043199999	-0.000295474	0.026418332	0	0.001949221	-0.005532801
0.043999999	-0.002472377	0.026275314	0	0.001949221	-0.005320609
0.044799999	-0.006245006	0.023332709	0	0.001949221	-0.005117357
0.045599999	-0.010731225	0.017616741	0	0.000972748	-0.005935878
0.046399999	-0.021156641	0.011746064	0	0.000972748	-0.005821437
0.047199999	-0.059976332	0.002317377	0	0.000972748	-0.005773157
0.047999999	-0.021593658	-0.00362702	0	0.000972748	-0.005792826
0.048799999	-0.002257558	-0.001232517	0	0.000972748	-0.00581786
0.049599999	-0.001356375	0.003732077	0	0.000972748	-0.005802363
0.050399999	-0.002164844	0.007143668	0	0.000972748	-0.005754679
0.051199999	-0.001495496	0.008548986	0	0.000972748	-0.00568971
0.051999999	-0.002938344	0.010126934	0	0.000972748	-0.005614012
0.052799999	-0.001202751	0.010616711	0	0.000972748	-0.005529374
0.053599999	-0.002205553	0.011168864	0	0.000972748	-0.005440563
0.054399999	-0.001590541	0.011585215	0	0.000972748	-0.005348772
0.055199999	-0.001983382	0.010037301	0	0.000972748	-0.005264133
0.055999999	-0.002535246	0.006476037	0	0.000972748	-0.005200356
0.056799999	-0.001368257	0.00322666	0	0.000972748	-0.005166978
0.057599999	-0.002207359	0.00249272	0	0.000972748	-0.0051485
0.058399999	-0.000675874	0.002726245	0	0.000972748	-0.005130023
0.059199999	-0.00273778	0.00366285	0	0.000972748	-0.005103797
0.059999998	-0.000470367	0.005816864	0	0.000972748	-0.00506565
0.060799998	-0.001954586	0.00759993	0	0.000972748	-0.005008429
0.061599998	0.000387322	0.008894152	0	0.000972748	-0.00494048
0.062399998	-0.000754459	0.010558289	0	-3.8743E-06	-0.005837232
0.063199998	-0.002155743	0.010969634	0	-3.8743E-06	-0.005749017
0.063999998	-0.008419069	0.007223487	0	-3.8743E-06	-0.005673915
0.064799998	-0.002016065	0.002863593	0	-3.8743E-06	-0.005640537
0.065599998	-0.001758085	0.000169661	0	-3.8743E-06	-0.005634576
0.066399998	-0.001505157	9.44229E-05	0	-3.8743E-06	-0.005635768
0.067199998	-0.001726102	0.001253874	0	-3.8743E-06	-0.005629808
0.067999998	-0.028302878	-0.001197545	0	-3.8743E-06	-0.005625039
0.068799998	-0.013143326	-0.002002684	0	-3.8743E-06	-0.005646497
0.069599998	-0.000889985	0.002370777	0	-3.8743E-06	-0.005642921
0.070399998	-0.001213612	0.006034132	0	-3.8743E-06	-0.005601794
0.071199998	-0.013956403	0.005760178	0	-3.8743E-06	-0.005545169
0.071999998	-0.049987666	-0.001763404	0	-3.8743E-06	-0.00553444
0.072799998	-0.009595339	-0.005465318	0	-3.8743E-06	-0.005576164
0.073599998	-0.001426558	-0.002148348	0	-3.8743E-06	-0.005609542
0.074399998	-0.002525316	0.003060165	0	0.000972748	-0.004623979
0.075199998	-0.002118795	0.006840903	0	-3.8743E-06	-0.00555411
0.075999998	-0.005971577	0.007365909	0	-3.8743E-06	-0.005491525
0.076799998	-0.013094035	0.003133265	0	-3.8743E-06	-0.005450398
0.077599998	-0.007293672	-0.001769262	0	-3.8743E-06	-0.005453378
0.078399998	-0.002556717	-0.002494765	0	-3.8743E-06	-0.005476028
0.079199998	-0.000892384	0.000523943	0	-3.8743E-06	-0.005481988
0.079999998	-0.001778499	0.003497266	0	-3.8743E-06	-0.005460531
0.080799998	-0.005825151	0.001224407	0	-3.8743E-06	-0.005436689
0.081599998	-0.001426725	-0.001534663	0	-3.8743E-06	-0.005446225
0.082399998	-0.003068545	-0.001958562	0	-3.8743E-06	-0.005462915
0.083199998	-0.00163195	0.000585395	0	-3.8743E-06	-0.005468875
0.083999998	-0.027387071	0.000800272	0	-3.8743E-06	-0.005455762
0.084799998	0.639471948	0.019086251	0.000457764	0.000440784	-0.005430728
0.085599998	2.293388844	0.187168688	0.002670288	0.002664079	-0.004667789
0.086399998	4.243217945	0.593169332	0.008106232	0.006135821	-0.003386736
0.087199998	6.10594368	1.261780858	0.018157959	0.009349203	-0.002415627
0.087999998	7.737417221	2.163691998	0.034255981	0.012750509	-0.000765324
0.088799998	9.055058479	3.270733118	0.057811737	0.014833084	0.000386983
0.089599998	10.18609619	4.541599274	0.090274811	0.016043211	0.001485646
0.090399998	11.30505371	5.949737072	0.133056641	0.016827176	0.002715141
0.091199998	12.56630707	7.501654625	0.187568665	0.017631418	0.004198104
0.091999998	13.87877274	9.223974228	0.255241394	0.018902224	0.006219745
0.092799998	15.29996395	11.11384583	0.337505341	0.022062499	0.010177195
0.093599998	16.59337044	13.208992	0.435771942	0.022675872	0.011667907
0.094399998	17.88728333	15.4972086	0.55147171	0.026071437	0.016290843
0.095199998	19.33132744	17.90473175	0.686035156	0.02585958	0.01741603
0.095999998	20.39678764	20.46489716	0.840854645	0.028346009	0.020946115
0.096799998	21.09174347	23.22297287	1.017379761	0.030070986	0.023414642
0.097599998	22.46057129	26.12801933	1.217041016	0.03343374	0.027280897
0.098399998	23.73010826	29.2589798	1.441230774	0.039857463	0.033855885
0.099199997	24.63938713	32.64169693	1.691398621	0.043928726	0.038542598
0.099999997	25.90205383	36.17693329	1.968955994	0.049023572	0.044709593
0.100799997	26.15106583	39.85720062	2.274875641	0.05514116	0.052695721
0.101599997	25.86701965	43.51842499	2.60925293	0.063346038	0.063674301
0.102399997	26.67901039	47.15837097	2.97208786	0.06680306	0.070631951
0.103199997	26.13275337	50.84737396	3.363380432	0.07137103	0.079687983
0.103999997	25.91123962	54.5759964	3.783111572	0.068261297	0.082162172
0.104799997	25.30315399	58.20243073	4.23122406	0.063243732	0.083862096
0.105599997	24.34077835	61.65652466	4.706726074	0.06022349	0.088243037
0.106399997	23.17882347	64.9466095	5.208187103	0.053871199	0.090336949
0.107199997	21.83552551	67.99935913	5.734176636	0.048623662	0.094183534
0.107999997	20.65829659	70.79587555	6.283302307	0.041104127	0.095757395
0.108799997	19.54389954	73.37268066	6.854114532	0.035749432	0.098913163
0.109599997	18.44965744	75.75007629	7.445220947	0.02820652	0.09925738
0.110399997	16.89033318	77.90213013	8.055152893	0.021936446	0.099828392
0.111199997	15.80570889	79.87956238	8.682518005	0.017468594	0.101110712
0.111999997	14.64788532	81.67403412	9.325885773	0.015333239	0.103759915
0.112799997	13.65462589	83.28309631	9.983844757	0.010201186	0.102334917
0.113599997	12.52732372	84.79057312	10.65496445	0.010415409	0.105455369
0.114399997	11.21987629	86.12670898	11.33781433	0.009669997	0.107098669
0.115199997	10.227314	87.28845215	12.0309639	0.007518511	0.106882304
0.115999997	9.037326813	88.29273987	12.73302078	0.007421207	0.108456761
0.116799997	7.883862495	89.13507843	13.4425354	0.006978214	0.109151155
0.117599997	6.31025362	89.79362488	14.15790558	0.005544703	0.109080225
0.118399997	4.134999275	90.19029999	14.87659454	0.004514623	0.109909624
0.119199997	1.459404349	90.21382141	15.59577942	0.002019107	0.110262185
0.119999997	-1.189706683	89.83859253	16.31261826	-0.001857523	0.109826773
0.120799997	-3.877809525	89.05487823	17.02432632	-0.007917862	0.107171386
0.121599997	-5.947556496	87.89717102	17.7290535	-0.010215454	0.107134134
0.122399997	-7.605388641	86.52017212	18.42538834	-0.013102107	0.104362033
0.123199997	-8.694067001	84.95105743	19.11190033	-0.014095344	0.101385936
0.123999997	-9.816464424	83.30326843	19.78715897	-0.010711625	0.100988448
0.124799997	-10.70794868	81.56991577	20.44973373	-0.010232925	0.096657574
0.125599997	-12.07154274	79.74977112	21.09823227	-0.010176301	0.091937631
0.126399997	-13.00028515	77.81982422	21.73120499	-0.00903477	0.088519901
0.127199997	-14.59222889	75.76731873	22.34725952	-0.011160728	0.082885474
0.127999997	-16.31549835	73.49423218	22.94492722	-0.01797732	0.07360056
0.128799997	-17.83768845	71.04528809	23.5228157	-0.022118809	0.067522079
0.129599997	-19.55251312	68.41490936	24.07949448	-0.030866284	0.057612211
0.130399997	-21.10708237	65.51086426	24.61355209	-0.035878271	0.051740557
0.131199997	-22.09923363	62.43087769	25.12353897	-0.040530283	0.046012253
0.131999997	-23.49921608	59.25424194	25.60806274	-0.041362448	0.044424981
0.132799997	-24.61081505	55.81678391	26.0656929	-0.045656785	0.039515942
0.133599997	-24.98101616	52.24240112	26.49518967	-0.047800001	0.036479086
0.134399997	-24.87747192	48.62837982	26.89622879	-0.052030804	0.030988902
0.135199997	-25.93403625	45.06616211	27.26881027	-0.051513156	0.030289143
0.135999997	-25.29380226	41.43235779	27.61295319	-0.054060016	0.025848895
0.136799997	-25.53720093	37.75587845	27.92861938	-0.056741233	0.02064392
0.137599997	-25.22598648	34.17080688	28.21586609	-0.054647033	0.01938805
0.138399997	-24.27030563	30.63628006	28.47530365	-0.054002921	0.01621142
0.139199996	-22.90891838	27.35191727	28.70828629	-0.051494353	0.014096126
